form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00769711,SB21B.186655,,,IND,,FITERRE,JORGE,E.,MR.,,9974 SOUTHWEST 31ST TERRACE,,MIAMI,FL,331652961,,,2024-06-24,3300.68,,IN-KIND CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,EVENT CATERING/VALET
SB21B,C00769711,SB21B.185409,,,IND,,GUIRIBITEY,PATRICIA,,DR.,,8401 SW 62 AVE,,SOUTH MIAMI,FL,331438057,,,2024-05-31,2600.00,,IN-KIND CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,EVENT CATERING
SB21B,C00769711,SB21B.I21064,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2024-04-04,12.00,,BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22152,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2024-04-29,2.50,,BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22153,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2024-04-29,2.50,,BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22154,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVENUE,,MCLEAN,VA,22101,,,2024-04-29,2.50,,BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22079,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-04-16,250.00,,SUBSCRIPTIONS,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22200,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-05-16,250.00,,SUBSCRIPTIONS,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22263,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-06-18,250.00,,SUBSCRIPTIONS,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22144,,,ORG,FOOD DUDES MIAMI INC.,,,,,,7700 NORTHWEST 7TH AVENUE,,MIAMI,FL,33150,,,2024-04-23,6320.90,,EVENT CATERING,003,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22163,,,ORG,IMS SERVICES LLC,,,,,,2970 SOUTHWEST 38TH COURT,#09,MIAMI,FL,33134,,,2024-04-30,5300.00,,FINANCE CONSULTING,003,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22222,,,ORG,IMS SERVICES LLC,,,,,,2970 SOUTHWEST 38TH COURT,#09,MIAMI,FL,33134,,,2024-05-31,5300.00,,FINANCE CONSULTING,003,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I22244,,,ORG,IMS SERVICES LLC,,,,,,2970 SOUTHWEST 38TH COURT,#09,MIAMI,FL,33134,,,2024-06-11,500.00,,FINANCE CONSULTING,003,,,,,,,,,,,,  ,,,,,,,
