form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00323048,F526DDF49E1FF6B75EA,,,CCM,Ashley Hinson For Congress,,,,,,PO Box 811,,Marion,IA,52302,P2024,,2023-09-05,1000.00,,2024 Primary,011,C00706267,,H0IA01174,Hinson,Ashley,,,,H,IA,02,,,,,,,,
SB23,C00323048,7AE24C031175DA7A825,,,PAC,Blue Nevada PAC,,,,,,4904 Camino Al Norte,Unit 336664,North Las Vegas,NV,89033,O2023,Contribution,2023-09-05,5000.00,,2023 Contribution,011,C00707232,Blue Nevada PAC,,,,,,,,,,,,,,,,,
SB23,C00323048,9A84DE6F8F12CFB9C46,,,CCM,Cleaver For Congress,,,,,,PO Box 411872,,Kansas City,MO,64141,P2024,,2023-09-11,1500.00,,2024 Primary,011,C00395848,,H4MO05234,Cleaver,Emanuel,,,II,H,MO,05,,,,,,,,
SB23,C00323048,V0F532140CA18353640F,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-09-30,90.00,,In-Kind; C00462861; Kuster for Congress; Inc.; Conference Space,011,C00462861,"Kuster For Congress, Inc",H0NH02181,Kuster,Ann,McLane,,,H,NH,02,,,,,,,,In-Kind
SB23,C00323048,V2243009FB730D9FA752,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-09-30,140.00,,In-Kind; C00367862; Mike Rogers for Congress; Reception Space,011,C00367862,Mike Rogers For Congress,H2AL03032,Rogers,Michael,Dennis,,,H,AL,03,,,,,,,,In-Kind
SB23,C00323048,V232688E9FE0E499CF8E,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-09-30,90.00,,In-Kind; C00575209; Angie Craig for Congress; Conference Space,011,C00575209,Angie Craig For Congress,H6MN02131,Craig,Angela,Dawn,,,H,MN,02,,,,,,,,In-Kind
SB23,C00323048,V2710860CF54AC246F47,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-09-30,90.00,,In-Kind; C00474092; Friends of Raja for Congress; Conference Space,011,C00575092,Friends Of Raja For Congress,H6IL08147,Krishnamoorthi,S. Raja,,,,H,IL,08,,,,,,,,In-Kind
SB23,C00323048,V3123036AF14089F2FC8,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-09-30,90.00,,In-Kind; C00729277; Deborah Ross for Congress; Conference Space,011,C00729277,Deborah Ross For Congress,H0NC02125,Ross,Deborah,K.,,,H,NC,02,,,,,,,,In-Kind
SB23,C00323048,V6196DD15BBFA51EBAF6,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-09-30,140.00,,In-Kind; C00575209; Angie Craig for Congress; Reception Space,011,C00575209,Angie Craig For Congress,H6MN02131,Craig,Angela,Dawn,,,H,MN,02,,,,,,,,In-Kind
SB23,C00323048,V7C3AC6DC6EC4AC2ED49,,,ORG,IAO Property Holdings LLC,,,,,,27 D Street SE,,Washington,DC,20003,P2024,,2023-09-30,90.00,,In-Kind; C00290825; Nadler for Congress; Conference Space,011,C00290825,Nadler For Congress,H2NY17071,Nadler,Jerrold,Lewis,,,H,NY,12,,,,,,,,In-Kind
