form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00566562,500714220,,,ORG,"CFO Compliance, LLC",,,,,,1 Park Row,Ste 5,Providence,RI,029031235,,,2024-07-10,1001.36,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500714230,,,ORG,ACTBLUE,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-09-22,424.64,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500686112,,,ORG,ACTBLUE,,,,,,PO Box 382110,,Cambridge,MA,022382110,G2024,,2024-07-28,79.00,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500674122,,,ORG,ACTBLUE,,,,,,PO Box 382110,,Cambridge,MA,022382110,G2024,,2024-07-07,217.25,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500687952,,,ORG,ACTBLUE,,,,,,PO Box 382110,,Cambridge,MA,022382110,G2024,,2024-08-11,70.12,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500695792,,,ORG,ACTBLUE,,,,,,PO Box 382110,,Cambridge,MA,022382110,G2024,,2024-09-08,266.63,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500714213,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-09-26,82.00,0.00,Bank Service Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500714214,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-08-29,72.00,0.00,Bank Service Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500686084,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2024-08-01,375.00,0.00,Annual Credit Card Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500681515,,,ORG,ACTBLUE,,,,,,PO Box 382110,,Cambridge,MA,022382110,G2024,,2024-07-21,197.50,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00566562,500714215,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-07-26,45.63,0.00,Bank Service Charge,,,,,,,,,,,,,,,,,,,,
