form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00193433,SB21B-401277,,,ORG,Ascensus Trust ,,,,,,1655 43rd Street S,Ste 100,Fargo,ND,58103,,,2023-05-01,51238.40,0.00,Employment Pension/ 401(k),,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-401279,,,ORG,Amalgamated Bank ,,,,,,275 Seventh Avenue,,New York,NY,10001,,,2023-05-01,700.00,0.00,Bank Charges ,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-401280,,,ORG,Paragon Payment Solutions ,,,,,,2141 East Broadway Rd,Ste 202,Tempe,AZ,85282,,,2023-05-02,23239.55,0.00,Credit Card Service Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-402076,,,ORG,First Data Merchant Services ,,,,,,PO Box 6010,,Hagerstown,MD,21741,,,2023-05-03,25.00,0.00,Credit Card Service Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-402075,,,ORG,Paragon Payment Solutions ,,,,,,2141 East Broadway Rd,Ste 202,Tempe,AZ,85282,,,2023-05-03,1192.22,0.00,Credit Card Service Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-401281,,,ORG,First Data Merchant Services ,,,,,,PO Box 6010,,Hagerstown,MD,21741,,,2023-05-03,2912.47,0.00,Credit Card Service Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-399271,,,ORG,ADSTRA ,,,,,,P.O. Box 358187,,Pittsburgh,PA,15251,,,2023-05-04,89.68,0.00,List Rental ,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-399272,,,ORG,ADSTRA ,,,,,,P.O. Box 358187,,Pittsburgh,PA,15251,,,2023-05-04,53.62,0.00,List Rental ,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-399273,,,ORG,ADSTRA ,,,,,,P.O. Box 358187,,Pittsburgh,PA,15251,,,2023-05-04,340.02,0.00,List Rental ,,,,,,,,,,,,,,,,,,,,
SB21B,C00193433,SB21B-399274,,,ORG,ADSTRA ,,,,,,P.O. Box 358187,,Pittsburgh,PA,15251,,,2023-05-04,115.00,0.00,List Rental ,,,,,,,,,,,,,,,,,,,,
