form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00845685,SB21B.17499,,,ORG,ANM Consulting,,,,,,140 Frankfort Square,,Columbus,OH,43206,,,2024-03-06,17890.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17500,,,ORG,Autumn Productions,,,,,,PO Box 371553,,Las Vegas,NV,89137,,,2024-03-19,5850.00,,Media Production,004,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17469,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-02-29,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17470,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-04,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17471,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-05,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17472,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-05,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17473,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-05,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17474,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-05,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17475,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-08,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17476,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-15,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17477,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-18,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17478,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-18,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17479,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-19,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17480,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-19,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17481,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-20,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17482,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Ave,,McLean,VA,22101,,,2024-03-29,25.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17483,,,ORG,Driver Eight Media LLC,,,,,,409 Church Street,,Mount Pleasant,SC,29464,,,2024-03-19,7500.00,,Media Services,004,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17486,,,ORG,Look Ahead Strategies,,,,,,1500 Wilson Blvd.,5th Floor,Arlington,VA,22209,,,2024-03-05,6500.00,,Media Services,004,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17489,,,ORG,Majority Strategies LLC,,,,,,PO Box 679219,,Dallas,TX,75267,,,2024-02-29,3500.00,,Staffing Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17488,,,ORG,Majority Strategies LLC,,,,,,PO Box 679219,,Dallas,TX,75267,,,2024-03-05,2625.00,,Staffing Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17491,,,ORG,Majority Strategies LLC,,,,,,PO Box 679219,,Dallas,TX,75267,,,2024-03-20,75000.00,,Communications Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17487,,,ORG,Majority Strategies LLC,,,,,,PO Box 679219,,Dallas,TX,75267,,,2024-03-29,1875.00,,Staffing Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17494,,,ORG,Socko Strategies,,,,,,1101 30th Street NW,Suite 125,Washington,DC,20007,,,2024-03-01,6928.54,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17493,,,ORG,Socko Strategies,,,,,,1101 30th Street NW,Suite 125,Washington,DC,20007,,,2024-03-12,6000.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17495,,,ORG,Socko Strategies,,,,,,1101 30th Street NW,Suite 125,Washington,DC,20007,,,2024-03-19,13650.00,,Fundraising Services,003,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17496,,,ORG,Something Else Strategies LLC,,,,,,212 Golden Willow Court,,Easley,SC,29642,,,2024-03-15,9026.00,,Media Production,004,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17498,,,ORG,Targeted Victory,,,,,,2311 Wilson Blvd,Suite 200,Arlington,VA,22201,,,2024-03-05,10165.00,,Digital Communications Services,004,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17497,,,ORG,Targeted Victory,,,,,,2311 Wilson Blvd,Suite 200,Arlington,VA,22201,,,2024-03-18,7155.89,,Digital Communications Services,004,,,,,,,,,,,,,,,,,,,
SB21B,C00845685,SB21B.17502,,,ORG,WinRED,,,,,,1776 Wilson Blvd,Ste. 530,Arlington,VA,22219,,,2024-03-31,3339.53,,Processing Fees,001,,,,,,,,,,,,,,,,,,,
