form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00802389,VVAG5ART157,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2CO08020,CARAVEO,YADIRA,,,,H,08,CO,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART165,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2NM02191,VASQUEZ,GABRIEL,,,,H,02,NM,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART172,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2NY10092,JEFFRIES,HAKEEM,,,,H,08,NY,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART180,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2NC14019,NICKEL,WILEY,,,,H,13,NC,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART198,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2CO08020,CARAVEO,YADIRA,,,,H,08,CO,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1A6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2NM02191,VASQUEZ,GABRIEL,,,,H,02,NM,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1B4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2NY10092,JEFFRIES,HAKEEM,,,,H,08,NY,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1C2,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-05,10.00,2023-01-05,20.00,Staff time and emails for online message (via drawdown),,,S,H2NC14019,NICKEL,WILEY,,,,H,13,NC,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1D0,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-13,1.66,2023-01-13,56.65,email services (via drawdown),,,S,S8NV00156,ROSEN,JACKY,,,,S,,NV,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1E8,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-13,1.67,2023-01-13,56.67,email services (via drawdown),,,S,S6MT00162,TESTER,JON,,,,S,,MT,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1F6,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-13,1.67,2023-01-13,226.68,email services (via drawdown),,,S,S6OH00163,BROWN,SHERROD,,,,S,,OH,Sonekan,Titi,,,,2023-03-17,
SE,C00802389,VVAG5ART1G4,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,P2024,,2023-01-13,1.66,2023-01-13,56.65,email services (via drawdown),,,S,S8NV00156,ROSEN,JACKY,,,,S,,NV,Sonekan,Titi,,,,2023-03-17,
