form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00235853,500692478,,,ORG,American Express Establishment Services,,,,,,12138 Central Ave,# 3886,Mitchellville,MD,207211910,,,2024-11-05,570.35,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689573,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-899.92,0.00,draw 10/17/2024 from line 29 (CA Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689574,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-446.63,0.00,draw 10/17/2024 from line 29 (Dem. Party of GA),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689575,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-837.15,0.00,draw 10/17/2024 from line 29 (MI Dem. Party State Central Comm.),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689576,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-204.07,0.00,draw 10/17/2024 from line 29 (NC Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689577,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-108.00,0.00,draw 10/17/2024 from line 29 (NV State Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689578,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-463.19,0.00,draw 10/17/2024 from line 29 (NY State Dem. Comm.),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689579,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-861.48,0.00,draw 10/17/2024 from line 29 (PA Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689580,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-779.61,0.00,draw 10/17/2024 from line 29 (TX Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689581,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-17.23,0.00,draw 10/17/2024 from line 29 (Dem. Party of WI),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689582,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-3039.04,0.00,draw 10/17/2024 from line 23 (CA Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689583,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-379.12,0.00,draw 10/17/2024 from line 23 (Dem. Party of GA),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689584,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-455.40,0.00,draw 10/17/2024 from line 23 (Dem. State Central Comm. of MD),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689585,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-442.60,0.00,draw 10/17/2024 from line 23 (MI Dem. Party State Central Comm.),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689586,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-317.74,0.00,draw 10/17/2024 from line 23 (NC Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689587,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-144.00,0.00,draw 10/17/2024 from line 23 (NV State Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689588,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-855.36,0.00,draw 10/17/2024 from line 23 (NY State Dem. Comm.),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689589,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-1219.72,0.00,draw 10/17/2024 from line 23 (PA Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689590,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-396.00,0.00,draw 10/17/2024 from line 23 (TX Dem. Party),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500689591,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-17,-100.08,0.00,draw 10/17/2024 from line 23 (Dem. Party of WI),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500690579,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-18,90000.00,0.00,Fund Preimbursement Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500690411,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-27,-94.15,0.00,draw 10/27/2024 adv from line 23 (Harris for President),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500690580,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-10-31,60000.00,0.00,Fund Preimbursement Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692279,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-01,-610.73,0.00,draw 11/01/2024 adv from line 29 (Friends of Anna Payne),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692280,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-01,-610.73,0.00,draw 11/01/2024 adv from line 29 (Friends of Elizabeth Moro),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692281,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-01,-610.73,0.00,draw 11/01/2024 adv from line 29 (Friends of Anna Thomas),,,,,,,,,,,,,,,,,,,,
SB21B,C00235853,500692282,,,ORG,Human Rights Campaign,,,,,,1640 Rhode Island Ave NW,,Washington,DC,200363200,,,2024-11-01,-610.73,0.00,draw 11/01/2024 adv from line 29 (Friends of Hadley Haas),,,,,,,,,,,,,,,,,,,,
