form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00495705,501127337,,,ORG,"NGP VAN, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2023-12-22,500.00,0.00,software,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501095130,,,ORG,Paragon Payment Solutions,,,,,,3901 Centerview Dr,Ste W,Chantilly,VA,201513229,,,2023-07-03,25.00,0.00,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501095131,,,ORG,Paragon Payment Solutions,,,,,,3901 Centerview Dr,Ste W,Chantilly,VA,201513229,,,2023-08-02,25.00,0.00,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501121985,,,ORG,Paragon Payment Solutions,,,,,,3901 Centerview Dr,Ste W,Chantilly,VA,201513229,,,2023-09-05,25.00,0.00,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501121986,,,ORG,Paragon Payment Solutions,,,,,,3901 Centerview Dr,Ste W,Chantilly,VA,201513229,,,2023-10-02,119.75,0.00,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501121987,,,ORG,Paragon Payment Solutions,,,,,,3901 Centerview Dr,Ste W,Chantilly,VA,201513229,,,2023-11-10,25.00,0.00,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501124957,,,ORG,Paragon Payment Solutions,,,,,,3901 Centerview Dr,Ste W,Chantilly,VA,201513229,,,2023-12-04,25.00,0.00,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501095112,,,ORG,Political Compliance Management Services,,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2023-07-03,295.00,0.00,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501095113,,,ORG,Political Compliance Management Services,,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2023-08-10,246.25,0.00,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501121988,,,ORG,Political Compliance Management Services,,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2023-09-03,200.00,0.00,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501121989,,,ORG,Political Compliance Management Services,,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2023-10-09,150.00,0.00,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501121990,,,ORG,Political Compliance Management Services,,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2023-11-08,98.75,0.00,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501130407,,,ORG,Political Compliance Management Services,,,,,,910 17Th St NW,Ste 925,Washington,DC,200062641,,,2023-12-06,204.13,0.00,PAC Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501066783,,,ORG,The Frost Group,,,,,,3422 Porter St NW,,Washington,DC,200163126,,,2023-07-11,1000.00,0.00,PAC Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501095104,,,ORG,The Frost Group,,,,,,3422 Porter St NW,,Washington,DC,200163126,,,2023-08-01,1000.00,0.00,PAC Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501095108,,,ORG,The Frost Group,,,,,,3422 Porter St NW,,Washington,DC,200163126,,,2023-09-05,1000.00,0.00,PAC Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501105696,,,ORG,The Frost Group,,,,,,3422 Porter St NW,,Washington,DC,200163126,,,2023-10-04,1000.00,0.00,PAC Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501118797,,,ORG,The Frost Group,,,,,,3422 Porter St NW,,Washington,DC,200163126,,,2023-11-08,1000.00,0.00,PAC Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00495705,501123688,,,ORG,The Frost Group,,,,,,3422 Porter St NW,,Washington,DC,200163126,,,2023-12-01,1000.00,0.00,PAC Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
