form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00770214,SB21B.I29652,,,ORG,"AIRSTREAM JETS, INC.",,,,,,621 NW 53RD STREET,SUITE 125,BOCA RATON,FL,33487,,,2024-11-18,17092.50,,TRANSPORTATION SVC,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29366,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-11-07,8974.05,,COMPLIANCE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29039,,,ORG,"CONCENTRIC OFFICE, LLC",,,,,,8136 OLD KEENE MILL RD,SUITE A300,SPRINGFIELD,VA,22152,,,2024-10-28,1507.30,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29068,,,ORG,EMPRISE BANK,,,,,,257 N BROADWAY,,WICHITA,KS,67202,,,2024-10-31,22.70,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29368,,,ORG,EMPRISE BANK,,,,,,257 N BROADWAY,,WICHITA,KS,67202,,,2024-11-08,7.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29074,,,ORG,JONES DAY,,,,,,PO BOX 7805 ,BEN FRANKLIN STATION,WASHINGTON,DC,20044,,,2024-11-01,6462.50,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29077,,,ORG,"SOCKO STRATEGIES, LLC",,,,,,1101 30TH ST NW,STE 125,WASHINGTON,DC,20007,,,2024-11-01,1250.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29075,,,ORG,TARGETED VICTORY LLC,,,,,,2311 WILSON BLVD,SUITE 200,ARLINGTON,VA,22201,,,2024-11-01,360711.78,,FUNDRAISING CONSULTING & ADVERTISING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29024,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-17,593.86,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29025,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-18,860.86,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29026,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-19,1277.36,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29027,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-20,755.68,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29347,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-21,1305.06,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29348,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-22,1305.24,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29349,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-23,971.87,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29350,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-24,1094.78,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29351,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-25,1607.69,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29352,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-26,1090.55,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29353,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-27,1380.22,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29354,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-28,1443.26,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29355,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-29,1907.00,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29356,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-30,2099.50,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29357,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-31,2121.38,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29358,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-01,2673.45,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29359,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-02,2101.59,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29360,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-03,2245.09,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29641,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-04,3000.41,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29642,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-05,2532.84,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29643,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-06,454.11,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29644,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-07,799.39,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29645,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-08,683.44,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29646,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-09,601.41,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00770214,SB21B.I29647,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-10,415.52,,CONDUIT TRANSACTION FEE,,,,,,,,,,,,,  ,,,,,,,
