form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00027359,50669063,,,CCM,Herb Conaway For Congress,,,,,,P.O. Box 493,,Willingboro,NJ,08046,G2024,,2024-08-28,5000.00,0.00,Contribution to a Federal Candidate,011,C00859496,Herb Conaway For Congress,H4NJ03197,Conaway,Herb,,Hon.,Jr.,H,NJ,03,,,,,,,,Contribution to a Federal Candidate
SB23,C00027359,50698175,,,PTY,OHIO DEMOCRATIC PARTY - FEDERAL ACCOUNT,,,,,,340 EAST FULTON STREET,,COLUMBUS,OH,43215,,,2024-08-01,5000.00,0.00,ACH Payment,011,,,,,,,,,,,,,,,,,,,ACH Payment
SB23,C00027359,50698176,,,PTY,DEMOCRATIC LEGISLATIVE CAMPAIGN COMMITTEE,,,,,,1225 EYE STREET NW,SUITE 1250,WASHINGTON,DC,20005,,,2024-08-12,50000.00,0.00,ACH Payment,011,,,,,,,,,,,,,,,,,,,ACH Payment
SB23,C00027359,50698177,,,CCM,Greg Casar For Congress,,,,,,PO Box 301923,,Austin,TX,78703,G2024,,2024-08-12,1000.00,0.00,ACH Payment,011,C00791897,Greg Casar For Congress,H2TX35144,Casar,Gregorio,,Rep.,,H,TX,35,,,,,,,,ACH Payment
SB23,C00027359,50698178,,,PAC,HOUSE MAJORITY PAC,,,,,,"700 13th Street, NW",,Washington,DC,20005,,,2024-08-12,25000.00,0.00,ACH Payment,011,C00495028,,,,,,,,,,,,,,,,,,ACH Payment
SB23,C00027359,50698300,,,PAC,Senate Majority PAC,,,,,,700 13st NW,Suite 600,Washington,DC,20005,,,2024-08-12,25000.00,0.00,ACH Payment,011,,,,,,,,,,,,,,,,,,,ACH Payment
SB23,C00027359,50698301,,,CCM,Lori Chavez-Deremer For Congress,,,,,,13203 Se 172nd Ave,Ste 166 #399,Happy Valley,OR,97086,G2024,,2024-08-12,2500.00,0.00,ACH Payment,011,C00784520,Lori Chavez-Deremer For Congress,H2OR05209,Chavez-DeRemer,Lori,,Rep.,,H,OR,05,,,,,,,,ACH Payment
SB23,C00027359,50698364,,,CCM,Bob Casey for Senate Committee,,,,,,P.O. Box 58746,,Philadelphia,PA,19102,G2024,,2024-08-12,5000.00,0.00,ACH Payment,011,,,,CASEY,BOB,,,,S,PA,,,,,,,,,ACH Payment
SB23,C00027359,50699703,,,PAC,America Works PAC,,,,,,"918 Pennsylvania Ave, SE",,Washington,DC,20003,,,2024-08-12,5000.00,0.00,ACH Payment,011,,,,,,,,,,,,,,,,,,,ACH Payment
SB23,C00027359,50699705,,,PAC,CHC BOLD PAC,,,,,,C/O Amy Strathdee,PO Box 15096,WASHINGTON,DC,20003,,,2024-08-12,5000.00,0.00,ACH Payment,011,,,,,,,,,,,,,,,,,,,ACH Payment
SB23,C00027359,50699707,,,CCM,Marie For Congress,,,,,,PO Box 1164,,Washougal,WA,98671,G2024,,2024-08-12,2500.00,0.00,ACH Payment,011,C00806174,Marie For Congress,H2WA03217,Gluesenkamp Perez,Marie,,Rep.,,H,WA,03,,,,,,,,ACH Payment
SB23,C00027359,50699709,,,CCM,KAPTUR FOR CONGRESS,,,,,,PO BOX 899,,TOLEDO,OH,43697,G2024,,2024-08-12,5000.00,0.00,ACH Payment,011,,,,KAPTUR,MARCY,,,,H,OH,09,,,,,,,,ACH Payment
SB23,C00027359,50699710,,,CCM,Andrea Salinas For Oregon,,,,,,PO Box 230985,,Tigard,OR,97223,G2024,,2024-08-13,2500.00,0.00,ACH Payment,011,C00793703,Andrea Salinas For Oregon,H2OR06066,Salinas,Andrea,,Rep.,,H,OR,06,,,,,,,,ACH Payment
SB23,C00027359,50699815,,,CCM,Morgan McGarvey For Congress,,,,,,PO Box 5324,,Louisville,KY,40255,G2024,,2024-08-13,1000.00,0.00,ACH Payment,011,C00791392,Morgan McGarvey For Congress,H2KY03206,McGarvey,Morgan,,Rep.,,H,KY,03,,,,,,,,ACH Payment
SB23,C00027359,50699826,,,CCM,Colin Allred for Senate,,,,,,PO Box 601631,,Dallas,TX,75360,G2024,,2024-08-13,5000.00,0.00,ACH Payment,011,C00839597,Colin Allred for Senate,S4TX00722,Allred,Colin,,Rep.,,S,TX,,,,,,,,,ACH Payment
SB23,C00027359,50699831,,,CCM,Chris Deluzio For Congress,,,,,,PO Box 16210,,Pittsburgh,PA,15242,G2024,,2024-08-13,2500.00,0.00,ACH Payment,011,C00787648,Chris Deluzio For Congress,H2PA17103,Deluzio,Chris,,Rep.,,H,PA,17,,,,,,,,ACH Payment
SB23,C00027359,50699834,,,CCM,Martin Heinrich For Senate,,,,,,PO Box 25763,,Albuquerque,NM,87125,G2024,,2024-08-14,1000.00,0.00,ACH Payment,011,C00434563,Martin Heinrich For Senate,S2NM00088,Heinrich,Martin,,Sen.,,H,NM,01,,,,,,,,ACH Payment
SB23,C00027359,50699837,,,CCM,Elissa Slotkin For Michigan,,,,,,P.O. Box 4145,,East Lansing,MI,48826,G2024,,2024-08-14,5000.00,0.00,ACH Payment,011,C00834218,Elissa Slotkin For Michigan,S4MI00470,Slotkin,Elissa,,Rep.,,S,MI,,,,,,,,,ACH Payment
SB23,C00027359,50737640,,,PTY,Missouri State Democratic Party Committee - FEDERAL ACCT.,,,,,,"4218 Roanoke Road, Ste 304",,Kansas City,MO,64111,,,2024-08-12,2500.00,0.00,,011,,,,,,,,,,,,,,,,,,,
