form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00163832,B871167,,,CCM,Mike Braun for Indiana Inc.,,,,,,PO Box 1126,,Carmel,IN,46082,P2024,,2024-05-03,2500.00,,P-2024 Governor  IN,011,,,,Braun,Michael,K,,,,IN, ,,,,,,,,
SB29,C00163832,B871184,,,CCM,CTE Joseph Aragona,,,,,,42033 Coulon,,Clinton Township,MI,48038,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 60 MI,011,,,,Aragona,Joseph,,,,H,MI,60,,,,,,,,
SB29,C00163832,B871183,,,CCM,COMMITTEE TO ELECT WILL BRUCK,,,,,,10406 CEMETERY ROAD,,ERIE,MI,48133,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 30 MI,011,,,,Bruck,Will,,,,H,MI,30,,,,,,,,
SB29,C00163832,B871182,,,CCM,Friends of Jaime Churches,,,,,,8841 Macomb St. PO Box #23,,Grosse Ile,MI,48138,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 27 MI,011,,,,Churches,Jaime,,,,H,MI,27,,,,,,,,
SB29,C00163832,B871172,,,CCM,John Damoose for State Senate,,,,,,2272 Catob Road,,Harbor Springs,MI,49740,O2026,Election Cycle,2024-05-02,250.00,,O-2026 State Senate 37 MI,011,,,,Damoose,John,,,,S,MI,37,,,,,,,,
SB29,C00163832,B871181,,,CCM,Committee to Elect Nancy DeBoer,,,,,,157 W. 40th St.,,Holland,MI,49423,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 86 MI,011,,,,DeBoer,Nancy,R,,,H,MI,86,,,,,,,,
SB29,C00163832,B871180,,,CCM,Committee to Elect Kristian Grant,,,,,,429 Elliott St. SE,,Grand Rapids,MI,49507,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 82 MI,011,,,,Grant,Kristian,,,,H,MI,82,,,,,,,,
SB29,C00163832,B871179,,,CCM,Friends of Phil Green,,,,,,7650 Trumbower Trail,,Millington,MI,48746,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 67 MI,011,,,,Green,Phil,A,,,H,MI,67,,,,,,,,
SB29,C00163832,B871178,,,CCM,CTE Mike Harris,,,,,,4850 Parkridge Dr.,,Waterford,MI,48329,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 52 MI,011,,,,Harris,Mike,R,,,H,MI,52,,,,,,,,
SB29,C00163832,B871171,,,CCM,CTE Dan Lauwers for Senate,,,,,,12401 Speaker Rd.,,Brockway,MI,48097,O2026,Election Cycle,2024-05-02,250.00,,O-2026 State Senate 25 MI,011,,,,Lauwers,Dan,,,,S,MI,25,,,,,,,,
SB29,C00163832,B871177,,,CCM,Mike Mueller for State Representative,,,,,,6127 Lobdell Rd,,Linden,MI,48451,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 72 MI,011,,,,Mueller,Mike,,,,H,MI,72,,,,,,,,
SB29,C00163832,B871176,,,CCM,Pat Outman for State Representative,,,,,,6481 N. Miles Road,,Six Lakes,MI,48886,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 70 MI,011,,,,Outman,Patrick,,,,H,MI,70,,,,,,,,
SB29,C00163832,B871175,,,CCM,Friends of Nate Shannon,,,,,,43313 Interlaken Drive,,Sterling Heights,MI,48313,O2024,Election Cycle,2024-05-02,250.00,,O-2024 State House 58 MI,011,,,,Shannon,Nate,,,,H,MI,58,,,,,,,,
