form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00806885,21b-25-00122-00157,,,ORG,Theis Research & Consulting,,,,,,C/O Sandy Theis,4171 Clotts Road,Gahanna,OH,43230,,,2023-02-01,5000.00,,Media Relations,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00145-00212,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-03-01,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00146-00213,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-03-08,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00147-00214,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-03-24,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00148-00215,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-03-31,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00149-00216,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-04-07,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00152-00219,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-04-14,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00151-00218,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-04-18,20.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00154-00221,,,ORG,Technicolor Political,,,,,,11013 S Longwood Drive,,Chicago,IL,60643,,,2023-04-18,6500.00,,Advertising,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00150-00217,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-04-21,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00153-00220,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-04-28,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00156-00223,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-05-01,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00132-00186,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-05-07,40.38,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00159-00226,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-05-08,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00133-00189,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-05-18,0.20,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00157-00224,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-05-19,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00134-00191,,,ORG,"Long Game Strategy, LLC",,,,,,2909 Indianola Ave.,,Columbus,OH,43202,,,2023-05-25,2500.00,,Administrative/Strategy Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00136-00194,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-05-25,1.00,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00158-00225,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-05-26,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00137-00197,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-05-31,0.40,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00160-00227,,,ORG,Republic Bank,,,,,,601 W Market St.,,Louisville,KY,40202,,,2023-06-01,30.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00806885,21b-25-00164-00232,,,ORG,Actblue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-06-07,1.00,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
