form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00764860,SB29.I4030,,,ORG,1962 PAC OF THE LINCOLN CLUB OF ORANGE COUNTY,,,,,,9070 IRVINE CENTER DRIVE,"#150, ID #1443925",IRVINE,CA,92618,,,2024-10-25,30000.00,,NON-FEDERAL CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4062,,,ORG,BAY ARMOURY LLC,,,,,,110 WOODLAWN TRL,,LOCUST GROVE,VA,22508,,,2024-10-03,5000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4031,,,ORG,BCC COMMUNICATIONS,,,,,,700 N FIG TREE LN,,PLANTATION,FL,33317,,,2024-11-22,5000.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4063,,,ORG,BCC COMMUNICATIONS,,,,,,700 N FIG TREE LN,,PLANTATION,FL,33317,,,2024-10-16,5000.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4032,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-25,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4033,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-01,0.50,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4064,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-04,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4065,,,ORG,CHAIN BRIDGE BANK,,,,,,1445A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-16,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4034,,,ORG,CHANCE CREATIVE LLC,,,,,,"1717 N ST, NW",SUITE 1,WASHINGTON,DC,20036,,,2024-10-30,1250.00,,DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4035,,,ORG,CHANCE CREATIVE LLC,,,,,,"1717 N ST, NW",SUITE 1,WASHINGTON,DC,20036,,,2024-11-13,1250.00,,DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
SB29,C00764860,SB29.I4066,,,ORG,CHANCE CREATIVE LLC,,,,,,"1717 N ST, NW",SUITE 1,WASHINGTON,DC,20036,,,2024-10-15,1250.00,,DIGITAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,NON-CONTRIBUTION ACCOUNT
