form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00428391,B893817,,,COM,Citizens for a Better Buckeye,,,,,,50 E. Arizona Ave.,,Buckeye,AZ,85326,O2024,Not Applicable,2024-12-23,2000.00,,Ballot Issue - Local,011,,,,,,,,,,, ,,,,,,,,
SB29,C00428391,B890290,,,CCM,Scott Bright for Senate,,,,,,17389 County Rd 31,,Platteville,CO,80651,O2024,Election Cycle,2024-12-06,-400.00,,O-2024 State Senate 13 CO,011,,,,Bright,Scott,,,,S,CO,13,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B890286,,,CCM,Committee to Elect Barbara Kirkmeyer to State Senate,,,,,,6100 County Road 4,,Brighton,CO,80603,O2024,Election Cycle,2024-12-06,-400.00,,O-2024 State Senate 23 CO,011,,,,Kirkmeyer,Barbara,,,,S,CO,23,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B890269,,,CCM,Rose for Colorado,,,,,,9235 N Union Blvd Ste 150 #128,,Colorado Springs,CO,80920,O2024,Election Cycle,2024-12-06,-400.00,,O-2024 State House 14 CO,011,,,,Pugliese,Rose,,,,H,CO,14,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B890281,,,CCM,Woog for House District 19,,,,,,PO BOX 12,,Frederick,CO,80530,O2024,Election Cycle,2024-12-06,-400.00,,O-2024 State House 19 CO,011,,,,Woog,Daniel,,,,H,CO,19,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B890268,,,CCM,Hartsook for House,,,,,,10940 S Parker Road Ste,,Parker,CO,80134,O2024,Election Cycle,2024-12-09,-225.00,,O-2024 State House 44 CO,011,,,,Hartsook,Anthony,,,,H,CO,44,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B890285,,,CCM,Kyle for Colorado,,,,,,667 W Lilac Ct,,Louisville,CO,80027,O2024,Election Cycle,2024-12-31,-400.00,,O-2024 State House 12 CO,011,,,,Brown,Kyle,,,,H,CO,12,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B890291,,,CCM,Coleman for Colorado,,,,,,PO Box 7222,,Denver,CO,80207,O2024,Election Cycle,2024-12-31,-400.00,,O-2024 State Senate 33 CO,011,,,,Coleman,James,,,,S,CO,33,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B890292,,,CCM,Lindsey for Colorado,,,,,,7007 Dudley Dr,,Arvada,CO,80004,O2024,Election Cycle,2024-12-31,-400.00,,O-2024 State Senate 19 CO,011,,,,Daugherty,Lindsey,,,,S,CO,19,,,,,,,,Voided: Original check dated 10/24/24
SB29,C00428391,B893208,,,CCM,Friends of Matt Bradford,,,,,,PO Box 349,,Norristown,PA,19404,P2026,,2024-12-10,500.00,,P-2026 State House 70 PA,011,,,,Bradford,Matt,,,,H,PA,70,,,,,,,,
SB29,C00428391,B893437,,,CCM,Bryan Hughes for Texas Senate,,,,,,P.O. Box 450,,Mineola,TX,75773,P2026,,2024-11-26,1500.00,,P-2026 State Senate 01 TX,011,,,,Hughes,Bryan,,,,S,TX,01,,,,,,,,
SB29,C00428391,B893438,,,CCM,Brooks Landgraf Campaign,,,,,,P.O. Box 13146,,Odessa,TX,79768,G2024,,2024-11-26,1500.00,,G-2024 State House 81 TX,011,,,,Landgraf,Brooks,,,,H,TX,81,,,,,,,,
SB29,C00428391,B893439,,,CCM,Ortiz for Texas,,,,,,P.O. Box 286,,Corpus Christi,TX,78403,G2024,,2024-11-26,500.00,,G-2024 State House 34 TX,011,,,,Ortiz,Solomon,,,Jr.,H,TX,34,,,,,,,,
