form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00008268,B853578,,,ORG,Latino Victory Project,,,,,,815 16th Street NW,,Washington,DC,20005,O2023,Not Applicable,2023-08-30,5000.00,,Non-Profit Organization,012,,,,,,,,,,, ,,,,,,,,
SB29,C00008268,B853645,,,CCM,John Allen for Assembly,,,,,,822 Hudson Street Apt. 2,,Hoboken,NJ,07030,G2023,,2023-08-30,1000.00,,G-2023 State House 32 NJ,011,,,,Allen,John,,,,H,NJ,32,,,,,,,,
SB29,C00008268,B853652,,,CCM,Election Fund of Craig J. Coughlin,,,,,,P.O. Box 368,,Woodbridge,NJ,07095,G2023,,2023-08-30,2600.00,,G-2023 State House 19 NJ,011,,,,Coughlin,Craig,J,,,H,NJ,19,,,,,,,,
SB29,C00008268,B853635,,,CCM,Election Fund of Joseph Cryan,,,,,,P.O. Box 2245,,Union,NJ,07083,G2023,,2023-08-30,1000.00,,G-2023 State House 20 NJ,011,,,,Cryan,Joseph,P,,,H,NJ,20,,,,,,,,
SB29,C00008268,B853638,,,CCM,DeAngelo for Assembly,,,,,,105 Limewood Drive,,Hamilton,NJ,08690,G2023,,2023-08-30,1000.00,,G-2023 State House 14 NJ,011,,,,DeAngelo,Wayne,,,,H,NJ,14,,,,,,,,
SB29,C00008268,B853637,,,CCM,Cmte to Elect Patrick J. Diegnan Jr.,,,,,,P.O. Box 736,,South Plainfield,NJ,07080,G2023,,2023-08-30,1000.00,,G-2023 State House 18 NJ,011,,,,Diegnan,Patrick,J,,Jr.,H,NJ,18,,,,,,,,
SB29,C00008268,B853640,,,CCM,Egan for Assembly,,,,,,20 New York Avenue,,New Brunswick,NJ,08901,G2023,,2023-08-30,1000.00,,G-2023 State House 17 NJ,011,,,,Egan,Joseph,V,,,H,NJ,17,,,,,,,,
SB29,C00008268,B853629,,,CCM,Craig Guy for Hudson County Exec,,,,,,PO Box 3586,,Jersey City,NJ,07303,G2023,,2023-08-30,2600.00,,G-2023 Co. Executive  NJ,011,,,,Guy,Craig,,,,,NJ, ,,,,,,,,
SB29,C00008268,B853630,,,CCM,Johnson for State Senate,,,,,,PO Box 14,,Tenafly,NJ,07670,G2023,,2023-08-30,1000.00,,G-2023 State Senate 37 NJ,011,,,,Johnson,Gordon,,,,S,NJ,37,,,,,,,,
SB29,C00008268,B853641,,,CCM,Election Fund of Assemblyman Sean T. Kean,,,,,,2150 Cottonwood Drive,,Sea Girt,NJ,08750,G2023,,2023-08-30,1000.00,,G-2023 State House 30 NJ,011,,,,Kean,Sean T.,,,,H,NJ,30,,,,,,,,
