form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00875807,SB21B.4924,,,ORG,"1789 STRATEGIES, LLC",,,,,,1037 CUMMINGS CIR,,MOUNT PLEASANT,SC,29464,,,2024-11-09,30000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4925,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-10-17,24.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4926,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-10-21,73.01,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4927,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-10-22,82.28,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4928,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-10-23,20.60,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4929,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-10-28,161.25,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4930,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-10-29,275.31,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4931,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-10-31,6.70,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4932,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-11-04,40.30,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4933,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-11-19,4.30,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4934,,,ORG,ANEDOT,,,,,,1340 POYDRAS STREET,,NEW ORLEANS,LA,70112,,,2024-11-20,41.98,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4935,,,ORG,"FMM CONSULTING GROUP, INC.",,,,,,8651 JOHN J KINGMAN RD,#123,FORT BELVOIR,VA,22060,,,2024-10-22,17669.53,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4936,,,ORG,"FMM CONSULTING GROUP, INC.",,,,,,8651 JOHN J KINGMAN RD,#123,FORT BELVOIR,VA,22060,,,2024-10-25,5120.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4937,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT ST,SUITE 401,BEVERLY,MA,01915,,,2024-11-05,576.97,,COMPLIANCE CONSULTING & DATA PROCESSING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4938,,,ORG,SLMG LLC,,,,,,1537 E ST SE,,WASHINGTON,DC,20003,,,2024-10-22,5000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00875807,SB21B.4939,,,ORG,SLMG LLC,,,,,,1537 E ST SE,,WASHINGTON,DC,20003,,,2024-11-05,5000.00,,STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
