form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00618116,SB23.4216,,,CCM,"ANDY BARR FOR CONGRESS, INC.",,,,,,PO BOX 2059,,LEXINGTON,KY,40588,G2024,,2023-01-05,2500.00,,CONTRIBUTION,,C00467571,"ANDY BARR FOR CONGRESS, INC.",,,,,,,H,KY,06,,,,,,,,
SB23,C00618116,SB23.4227,,,CCM,ANN WAGNER FOR CONGRESS,,,,,,PO BOX 50,,BALLWIN,MO,63022,G2024,,2023-04-28,1500.00,,CONTRIBUTION,,C00495846,ANN WAGNER FOR CONGRESS,,,,,,,H,MO,02,,,,,,,,
SB23,C00618116,SB23.4236,,,CCM,FRENCH HILL FOR ARKANSAS,,,,,,PO BOX 7841,,LITTLE ROCK,AR,72217,G2024,,2023-06-05,3300.00,,CONTRIBUTION,,C00551275,FRENCH HILL FOR ARKANSAS,,,,,,,H,AR,02,,,,,,,,
SB23,C00618116,SB23.4240,,,CCM,HUIZENGA FOR CONGRESS,,,,,,PO BOX 254,,ZEELAND,MI,49464,G2024,,2023-06-13,1000.00,,CONTRIBUTION,,C00459297,HUIZENGA FOR CONGRESS,,,,,,,H,MI,02,,,,,,,,
SB23,C00618116,SB23.4218,,,PAC,INNOVATION POLITICAL ACTION COMMITTEE,,,,,,228 S WASHINGTON ST STE 115,,ALEXANDRIA,VA,22314,,,2023-03-28,500.00,,CONTRIBUTION,,C00540187,,,,,,,,,,,,,,,,,,
SB23,C00618116,SB23.4220,,,CCM,LOUDERMILK FOR CONGRESS,,,,,,PO BOX 447,,CASSVILLE,GA,30123,G2024,,2023-03-28,1000.00,,CONTRIBUTION,,C00543892,LOUDERMILK FOR CONGRESS,H4GA11061,LOUDERMILK,BARRY,,,,H,GA,11,,,,,,,,
SB23,C00618116,SB23.4223,,,CCM,LOUDERMILK FOR CONGRESS,,,,,,PO BOX 447,,CASSVILLE,GA,30123,G2024,,2023-04-28,1000.00,,CONTRIBUTION,,C00543892,LOUDERMILK FOR CONGRESS,,,,,,,H,GA,11,,,,,,,,
SB23,C00618116,SB23.4235,,,CCM,MEUSER FOR CONGRESS,,,,,,PO BOX 183,,HUDSON,WI,54016,G2024,,2023-05-26,1500.00,,CONTRIBUTION,,C00654723,MEUSER FOR CONGRESS,,,,,,,H,PA,09,,,,,,,,
SB23,C00618116,SB23.4217,,,PAC,MORAN VICTORY COMMITTEE,,,,,,PO BOX 541,,BELLEVILLE,KS,66935,,,2023-02-07,1000.00,,CONTRIBUTION,,C00616268,,,,,,,,,,,,,,,,,,
SB23,C00618116,SB23.4239,,,PAC,PEOPLE FOR ENTERPRISE TRADE AND ECONOMIC GROWTH (PETE PAC),,,,,,PO BOX 7754,,WACO,TX,76714,,,2023-06-05,2000.00,,CONTRIBUTION,,C00363770,PEOPLE FOR ENTERPRISE TRADE AND ECONOMIC GROWTH (PETE PAC),,,,,,,,,,,,,,,,,
SB23,C00618116,SB23.4230,,,CCM,WOMACK FOR CONGRESS COMMITTEE,,,,,,PO BOX 508,,ROGERS,AR,72757,G2024,,2023-05-04,3000.00,,CONTRIBUTION,,C00477745,WOMACK FOR CONGRESS COMMITTEE,,,,,,,H,AR,03,,,,,,,,
