form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00144345,B861541,,,CCM,Kim Moser for State Representative,,,,,,P.O. Box 143,,Independence,KY,41051,P2024,,2023-12-06,1000.00,,P-2024 State House 64 KY,011,,,,Moser,Kim,,,,H,KY,64,,,,,,,,
SB29,C00144345,B858775,,,CCM,Rep. John Read Re-election Campaign,,,,,,2307 Highway 90,,Gautier,MS,39553,G2023,,2023-11-01,500.00,,G-2023 State House 112 MS,011,,,,Read,John,,,,H,MS,11,,,,,,,,
SB29,C00144345,B859336,,,CCM,Friends of Hob Bryan,,,,,,P.O. Box 75,,Amory,MS,38821,P2027,,2023-11-13,1000.00,,P-2027 State Senate 07 MS,011,,,,Bryan,Hob,,,,S,MS,07,,,,,,,,
SB29,C00144345,B859337,,,CCM,Friends of Sam Mims,,,,,,P.O. Box 1018,,Jackson,MS,39215,P2027,,2023-11-13,500.00,,P-2027 State House 97 MS,011,,,,Mims,Sam,C,,V,H,MS,97,,,,,,,,
SB29,C00144345,B859338,,,CCM,Rep. John Read Re-election Campaign,,,,,,2307 Highway 90,,Gautier,MS,39553,P2027,,2023-11-13,500.00,,P-2027 State House 112 MS,011,,,,Read,John,,,,H,MS,11,,,,,,,,
SB29,C00144345,B859524,,,CCM,Jim Pillen for Governor,,,,,,4438 Old Mill Court,,Columbus,NE,68601,P2026,,2023-11-18,1000.00,,P-2026 Governor  NE,011,,,,Pillen,James,,,,,NE, ,,,,,,,,
SB29,C00144345,B852225,,,CCM,Carol Murphy for Assembly,,,,,,PO Box 181,,Mount Laurel,NJ,08054,G2023,,2023-08-04,500.00,,G-2023 State House 7 NJ,011,,,,Murphy,Carol,A,,,H,NJ,07,,,,,,,,
SB29,C00144345,B852226,,,CCM,Zwicker for Senate,,,,,,162 Broad Street,,Highstown,NJ,08520,G2023,,2023-08-04,500.00,,G-2023 State Senate 16 NJ,011,,,,Zwicker,Andrew,,,,S,NJ,16,,,,,,,,
SB29,C00144345,B853873,,,CCM,Bucco for Senate,,,,,,17 Condit Street,,Succasunna,NJ,07876,G2023,,2023-09-06,500.00,,G-2023 State Senate 25 NJ,011,,,,Bucco,Anthony,M,,Jr.,S,NJ,25,,,,,,,,
SB29,C00144345,B853874,,,CCM,DiMaio for Assembly,,,,,,15 Reese Avenue,,Hackettstown,NJ,07840,G2023,,2023-09-06,1000.00,,G-2023 State House 23 NJ,011,,,,DiMaio,John,,,,H,NJ,23,,,,,,,,
SB29,C00144345,B853872,,,CCM,DiMaio for Assembly,,,,,,15 Reese Avenue,,Hackettstown,NJ,07840,G2023,,2023-09-06,500.00,,G-2023 State House 23 NJ,011,,,,DiMaio,John,,,,H,NJ,23,,,,,,,,
SB29,C00144345,B853875,,,CCM,Freiman for Assembly,,,,,,PO Box 191,,Kingston,NJ,08528,G2023,,2023-09-06,1000.00,,G-2023 State House 16 NJ,011,,,,Freiman,Roy,D,,,H,NJ,16,,,,,,,,
SB29,C00144345,B853876,,,CCM,Election Fund of Louis Greenwald,,,,,,26 Springdale Rd. Bldg. 27,,Cherry Hill,NJ,08003,G2023,,2023-09-06,500.00,,G-2023 State House 06 NJ,011,,,,Greenwald,Louis,D,,,H,NJ,06,,,,,,,,
SB29,C00144345,B853871,,,CCM,Johnson for State Senate,,,,,,PO Box 14,,Tenafly,NJ,07670,G2023,,2023-09-06,500.00,,G-2023 State Senate 37 NJ,011,,,,Johnson,Gordon,,,,S,NJ,37,,,,,,,,
SB29,C00144345,B853880,,,CCM,Nancy Munoz for Assembly,,,,,,PO Box 115,,Cedar Knolls,NJ,07927,G2023,,2023-09-06,500.00,,G-2023 State House 21 NJ,011,,,,Munoz,Nancy,,,,H,NJ,21,,,,,,,,
SB29,C00144345,B853879,,,CCM,Park for Assembly,,,,,,PO Box 968,,Englewood Cliffs,NJ,07632,G2023,,2023-09-06,300.00,,G-2023 State House 37 NJ,011,,,,Park,Ellen,,,,H,NJ,37,,,,,,,,
SB29,C00144345,B853878,,,CCM,Cmte to Elect M. Teresa Ruiz,,,,,,530 Beardsley Ave,,Boomfield,NJ,07003,G2023,,2023-09-06,500.00,,G-2023 State Senate 29 NJ,011,,,,Ruiz,M. Teresa,,,,S,NJ,29,,,,,,,,
SB29,C00144345,B853869,,,CCM,Stanley for Assembly,,,,,,PO Box 1,,East Brunswick,NJ,08816,G2023,,2023-09-06,400.00,,G-2023 State House 18 NJ,011,,,,Stanley,Sterley,,,,H,NJ,18,,,,,,,,
SB29,C00144345,B853881,,,CCM,Lisa Swain for State Assembly,,,,,,6 Fernwood Dr,,Fair Lawn,NJ,07410,G2023,,2023-09-06,500.00,,G-2023 State House 38 NJ,011,,,,Swain,Lisa,,,,H,NJ,38,,,,,,,,
SB29,C00144345,B853870,,,CCM,Tully for Assembly,,,,,,66 North Washington Ave 2nd Floor,,Bergenfield,NJ,07621,G2023,,2023-09-06,500.00,,G-2023 State House 38 NJ,011,,,,Tully,Peter Christopher,,,,H,NJ,38,,,,,,,,
SB29,C00144345,B853877,,,CCM,Election Fund of Senator Joseph Vitale,,,,,,P.O. Box 1467,,Woodbridge,NJ,07095,G2023,,2023-09-06,500.00,,G-2023 State Senate 19 NJ,011,,,,Vitale,Joseph,F,,,S,NJ,19,,,,,,,,
SB29,C00144345,B855486,,,CCM,Bergen for Assembly,,,,,,PO Box 565,,Denville,NJ,07834,G2023,,2023-09-22,500.00,,G-2023 State House 26 NJ,011,,,,Bergen,Brian,,,,H,NJ,26,,,,,,,,
SB29,C00144345,B855488,,,CCM,EFO Aura Dunn for Assembly,,,,,,P.O. Box 999,,Edison,NJ,08818,G2023,,2023-09-22,400.00,,G-2023 State House 25 NJ,011,,,,Dunn,Aura,,,,H,NJ,25,,,,,,,,
SB29,C00144345,B855487,,,CCM,Cmte to Elect Angela V McKnight,,,,,,PO Box 15442,,Jersey City,NJ,07305,G2023,,2023-09-22,300.00,,G-2023 State Senate 31 NJ,011,,,,McKnight,Angela,V,,,S,NJ,31,,,,,,,,
SB29,C00144345,B856144,,,CCM,Peterson for Assembly,,,,,,c/o 370 Tall Tree Court,,Jackson,NJ,08527,G2023,,2023-09-27,300.00,,G-2023 State House 23 NJ,011,,,,Peterson,Erik,,,,H,NJ,23,,,,,,,,
SB29,C00144345,B857774,,,CCM,EFO Christian E. Barranco,,,,,,31 Chelsea Drive,,Oak Ridge,NJ,07438,G2023,,2023-10-20,200.00,,G-2023 State House 25 NJ,011,,,,Barranco,Christian,E,,,H,NJ,25,,,,,,,,
SB29,C00144345,B859523,,,CCM,Friends of Sara Carruthers,,,,,,601 Glenway Drive,,Hamilton,OH,45013,P2024,,2023-11-15,500.00,,P-2024 State House 47 OH,011,,,,Carruthers,Sara,,,,H,OH,47,,,,,,,,
SB29,C00144345,B861542,,,CCM,Tim Barhorst for Ohio,,,,,,140B Liberty Way,,Fort Loramie,OH,45845,P2024,,2023-12-06,500.00,,P-2024 State House 85 OH,011,,,,Barhorst,Tim,,,,H,OH,85,,,,,,,,
SB29,C00144345,B861539,,,CCM,Demetriou for Ohio,,,,,,8472 E. WASHINGTON ST STE 226,,CHAGRIN  FALLS,OH,44023,P2024,,2023-12-06,500.00,,P-2024 State House 35 OH,011,,,,Demetriou,Steve,,,,H,OH,35,,,,,,,,
SB29,C00144345,B861545,,,CCM,Monica Robb Blasdel for State Representative,,,,,,16428 Harvard Avenue,,East Liverpool,OH,43920,P2024,,2023-12-06,500.00,,P-2024 State House 79 OH,011,,,,Robb Blasdel,Monica,,,,H,OH,79,,,,,,,,
