form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00430256,17279111,,,COM,Knodl for Senate,,,,,,N101 W14475 Ridgefield Court,,Germantown,WI,53022,,,2023-03-08,500.00,0.00,2023 Wisconsin Special General Election Contribution,011,,,,Knodl,Daniel,,WI Rep.,,,,,,,,,,,,2023 Wisconsin Special General Election Contribution
SB29,C00430256,17319892,,,COM,Friends of Mike,,,,,,115 Henry Road,,Vicksburg,MS,39183,,,2023-03-22,4000.00,0.00,2023 MS State Primary Election Contribution,011,,,,Chaney,Mike,,,,,,,,,,,,,,2023 MS State Primary Election Contribution
SB29,C00430256,17319893,,,COM,Andy Beshear for Governor,,,,,,PO Box 4278,,Louisville,KY,40204,,,2023-03-22,2000.00,0.00,2023 Kentucky State General Election Contribution,011,,,,Beshear,Andy,,,,,,,,,,,,,,2023 Kentucky State General Election Contribution
SB29,C00430256,17319896,,,COM,House Republican Campaign Committee,,,,,,PO Box 1068,,Frankfort,KY,40602,,,2023-03-22,5000.00,0.00,2023 Contribution,011,,,,,,,,,,,,,,,,,,,2023 Contribution
SB29,C00430256,17319897,,,PTY,Kentucky Democratic Party - Federal Account,,,,,,PO Box 4278,,Louisville,KY,40204,,,2023-03-22,5000.00,0.00,2023 Contribution to Federal Account,011,,,,,,,,,,,,,,,,,,,2023 Contribution to Federal Account
SB29,C00430256,17319898,,,PTY,Kentucky Democratic Party - State Account,,,,,,PO Box 4278,,Louisville,KY,40204,,,2023-03-22,5000.00,0.00,2023 Contribution to State Account,011,,,,,,,,,,,,,,,,,,,2023 Contribution to State Account
SB29,C00430256,17319900,,,PTY,Republican Party of Kentucky - State Account,,,,,,PO Box 1068,,Frankfort,KY,40602,,,2023-03-22,5000.00,0.00,2023 Contribution to State Account,011,,,,,,,,,,,,,,,,,,,2023 Contribution to State Account
SB29,C00430256,17319901,,,COM,Senate Republican Caucus Campaign Committee,,,,,,PO Box 1068,,Frankfort,KY,40602,,,2023-03-22,5000.00,0.00,2023 Contribution,011,,,,,,,,,,,,,,,,,,,2023 Contribution
SB29,C00430256,17321021,,,ORG,"Square, Inc",,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2023-03-09,84.15,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,Credit Card Processing Fee
SB29,C00430256,17321022,,,ORG,"Square, Inc",,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2023-03-13,3.65,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,Credit Card Processing Fee
SB29,C00430256,17321023,,,ORG,"Square, Inc",,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2023-03-27,87.65,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,Credit Card Processing Fee
SB29,C00430256,17321024,,,ORG,"Square, Inc",,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2023-03-16,8.90,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,Credit Card Processing Fee
SB29,C00430256,17324878,,,ORG,"Square, Inc",,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2023-03-30,35.15,0.00,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,Credit Card Processing Fee
