form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00483883,24-17-00709-01315,,,ORG,Radar Strategies,,,,,,PO Box 44523,,Phoenix,AZ,85064,G2024,,2024-09-25,133750.00,2024-09-18,133750.00,Advertising,,,O,H2AZ02360,Ciscomani,Juan,,,,H,06,AZ,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00709-01328,,,ORG,Radar Strategies,,,,,,PO Box 44523,,Phoenix,AZ,85064,G2024,,2024-09-25,133750.00,2024-09-18,133750.00,Advertising,,,O,H4AZ06045,Schweikert,David,,,,H,01,AZ,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00710-01325,,,ORG,Sage Media Planning & Placement,,,,,,"1322 G Street, SE",,Washington,DC,20003,G2024,,2024-09-24,83241.40,2024-09-19,83241.40,Advertising,,,S,H8PA15229,Wild,Susan,,,,H,07,PA,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00711-01317,,,ORG,Alper Strategies,,,,,,"17000 Kercheval, Suite 211",,Grosse Pointe,MI,48230,G2024,,2024-09-24,13875.00,2024-09-19,97116.40,Advertisement Production,,,S,H8PA15229,Wild,Susan,,,,H,07,PA,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00710-01316,,,ORG,Sage Media Planning & Placement,,,,,,"1322 G Street, SE",,Washington,DC,20003,G2024,,2024-09-24,80660.87,2024-09-19,80660.87,Advertising,,,O,H2MI07123,Barrett,Tom,,,,H,07,MI,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00711-01321,,,ORG,Alper Strategies,,,,,,"17000 Kercheval, Suite 211",,Grosse Pointe,MI,48230,G2024,,2024-09-24,13875.00,2024-09-19,94535.87,Advertisement Production,,,O,H2MI07123,Barrett,Tom,,,,H,07,MI,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00710-01326,,,ORG,Sage Media Planning & Placement,,,,,,"1322 G Street, SE",,Washington,DC,20003,G2024,,2024-09-24,67020.24,2024-09-19,67020.24,Advertising,,,O,H2PA04135,Perry,Scott,,,,H,10,PA,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00711-01322,,,ORG,Alper Strategies,,,,,,"17000 Kercheval, Suite 211",,Grosse Pointe,MI,48230,G2024,,2024-09-24,13875.00,2024-09-19,80895.24,Advertisement Production,,,O,H2PA04135,Perry,Scott,,,,H,10,PA,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00711-01323,,,ORG,Alper Strategies,,,,,,"17000 Kercheval, Suite 211",,Grosse Pointe,MI,48230,G2024,,2024-09-28,13875.00,2024-09-19,13875.00,Advertisement Production,,,O,S4MI00595,Rogers,Michael,,,,S,,MI,Fiesta,Richard,J.,,,2024-10-14,
SE,C00483883,24-17-00713-01319,,,ORG,Sage Media Planning & Placement,,,,,,"1322 G Street, SE",,Washington,DC,20003,G2024,,2024-09-28,999665.20,2024-09-27,1013540.20,Advertising,,,O,S4MI00595,Rogers,Michael,,,,S,,MI,Fiesta,Richard,J.,,,2024-10-14,
