form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00853838,SB29.4260,,,ORG,BRANDON PATTERSON,,,,,,DBA DEAN PHILANTHROPY ADVISORS LLC,600 FORT HILL RD. #501,PEEKSKILL,NY,10566,,,2024-01-04,2000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4275,,,ORG,CENTRE COUNTY REPUBLICAN PARTY,,,,,,1315 S. ALLEN ST.,#203,STATE COLLEGE,PA,16801,,,2024-02-08,250.00,,EVENT TICKET PURCHASE,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4273,,,ORG,EUPORIE LLC,,,,,,60-53 72ND STREET,,MASPETH,NY,11378,,,2024-01-31,5000.00,,STRATEGIC CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4262,,,ORG,FLO COMMUNICATIONS,,,,,,14530 BENEFIT ST.,#103,SHERMAN OAKS,CA,91403,,,2024-01-05,985.00,,NON FEDERAL MAILER PRODUCTION,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4263,,,ORG,FLO COMMUNICATIONS,,,,,,14530 BENEFIT ST.,#103,SHERMAN OAKS,CA,91403,,,2024-01-05,350.00,,ADVERTISING LIST EXPENSE,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4288,,,ORG,FLO COMMUNICATIONS,,,,,,14530 BENEFIT ST.,#103,SHERMAN OAKS,CA,91403,,,2024-01-22,5942.40,,DIGITAL CONSULTING AND ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4271,,,ORG,FLO COMMUNICATIONS,,,,,,14530 BENEFIT ST.,#103,SHERMAN OAKS,CA,91403,,,2024-01-23,6604.96,,DIGITAL CONSULTING AND ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4235,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-01-18,20161.13,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4235.0,SB29.4235,SB29,ORG,FOLEY & LARDNER LLP,,,,,,90 PARK AVE.,,NEW YORK,NY,10016,,,2024-01-18,20161.13,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4297,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-01-22,5275.99,,IN-KIND DIGITAL ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4297.0,SB29.4297,SB29,ORG,FLO COMMUNICATIONS,,,,,,14530 BENEFIT ST.,#103,SHERMAN OAKS,CA,91403,,,2024-01-22,5275.99,,DIGITAL ADVERTISING,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4215,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-01-31,15000.00,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4215.0,SB29.4215,SB29,ORG,AVORN LAW LLC,,,,,,88 LEFFERTS PLACE,#3A,BROOKLYN,NY,11238,,,2024-01-31,15000.00,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4253,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-01-31,1790.51,,IN-KIND STAFF PAYROLL,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4246,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-02-04,4400.00,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4246.0,SB29.4246,SB29,ORG,LAW OFFICE OF NATALIE KATO,,,,,,2051 COUNTRY CLUB DR.,,TALLAHASSEE,FL,32301,,,2024-02-04,4400.00,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4295,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-02-22,4321.97,,IN-KIND DIGITAL CONSULTING AND ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4295.0,SB29.4295,SB29,ORG,FLO COMMUNICATIONS,,,,,,14530 BENEFIT ST.,#103,SHERMAN OAKS,CA,91403,,,2024-02-22,4321.97,,DIGITAL CONSULTING AND ADVERTISING,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4233,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-02-23,42094.40,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4233.0,SB29.4233,SB29,ORG,FOLEY & LARDNER LLP,,,,,,90 PARK AVE.,,NEW YORK,NY,10016,,,2024-02-23,42094.40,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4290,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-02-28,1000.00,,IN-KIND POLITICAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4290.0,SB29.4290,SB29,ORG,WILLIAM R. CORETESE JR.,,,,,,"226 5TH ST., SE",APT. 101,WASHINGTON,DC,20003,,,2024-02-28,1000.00,,POLITICAL CONSULTING,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4212,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-02-29,19885.54,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4212.0,SB29.4212,SB29,ORG,AVORN LAW LLC,,,,,,88 LEFFERTS PLACE,#3A,BROOKLYN,NY,11238,,,2024-02-29,19885.54,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4257,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-02-29,3422.29,,IN-KIND STAFF PAYROLL,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4242,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-03-01,8000.00,,IN-KIND POLITICAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4242.0,SB29.4242,SB29,ORG,IVORY POLITICAL STRATEGY LLC,,,,,,2388 HILLTOP RD.,,PRESTO,PA,15142,,,2024-03-01,8000.00,,POLITICAL CONSULTING,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4250,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-03-01,2200.00,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4250.0,SB29.4250,SB29,ORG,LAW OFFICE OF NATALIE KATO,,,,,,2051 COUNTRY CLUB DR.,,TALLAHASSEE,FL,32301,,,2024-03-01,2200.00,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4224,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-03-17,6871.43,,IN-KIND DIGITAL CONSULTING AND ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4224.0,SB29.4224,SB29,ORG,FLO COMMUNICATIONS,,,,,,14530 BENEFIT ST.,#103,SHERMAN OAKS,CA,91403,,,2024-03-17,6871.43,,DIGITAL CONSULTING AND ADVERTISING,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4239,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-03-21,20488.39,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4239.0,SB29.4239,SB29,ORG,FOLEY & LARDNER LLP,,,,,,90 PARK AVE.,,NEW YORK,NY,10016,,,2024-03-21,20488.39,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4219,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-03-31,10589.48,,IN-KIND LEGAL SERVICES,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4219.0,SB29.4219,SB29,ORG,AVORN LAW LLC,,,,,,88 LEFFERTS PLACE,#3A,BROOKLYN,NY,11238,,,2024-03-31,10589.48,,LEGAL SERVICES,,,,,,,,,,,,,,,,,,,X,
SB29,C00853838,SB29.4259,,,ORG,LEDA Health,,,,,,370 Jay Street,,Brooklyn,NY,11201,,,2024-03-31,4978.76,,IN-KIND STAFF PAYROLL,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4264,,,ORG,SAGE ADVISORY GROUP,,,,,,7816 ROSE GARDEN LN.,,SPRINGFIELD,VA,22153,,,2024-01-10,3135.00,,BOOKKEEPING AND REPORTING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4279,,,ORG,SAGE ADVISORY GROUP,,,,,,7816 ROSE GARDEN LN.,,SPRINGFIELD,VA,22153,,,2024-02-21,1090.00,,BOOKKEEPING AND REPORTING,,,,,,,,,,,,,,,,,,,,
SB29,C00853838,SB29.4282,,,IND,,WATSON,MADISON,,,,PO BOX 162,,BLOWING ROCK,NC,28605,,,2024-03-01,150.00,,DIGITAL CONSULTING,,,,,,,,,,,,,,,,,,,,
