form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00697326,SB21B.4662,,,ORG,"ASPECT CONSULTING, LLC",,,,,,8383 GREENWAY BOULEVARD,SUITE 600,MIDDLETON,WI,53562,,,2024-09-09,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4666,,,CCM,HUIZENGA FOR CONGRESS,,,,,,PO BOX 254,,ZEELAND,MI,49464,G2024,,2024-09-10,5000.00,,CONTRIBUTION TO FEDERAL CANDIDATE,,C00459297,,,,,,,,H,MI,04,,,,,,,,
SB21B,C00697326,SB21B.4665,,,ORG,iSTREAM FINANCIAL SERVICES,,,,,,13555 BISHOPS COURT,#2,BROOKFIELD,WI,53005,,,2024-09-05,46.73,,CHECK PROCESSING FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4664,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-10,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4669,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-11,35.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4677,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-19,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4678,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-19,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4679,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-19,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4681,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-27,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4686,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-30,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4687,,,ORG,JOHNSON BANK,,,,,,555 MAIN STREET,,RACINE,WI,53403,,,2024-09-30,15.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4660,,,CCM,REPUBLIC STRATEGIES,,,,,,611 PENNSYLVANIA AVENUE,SUITE 396,WASHINGTON,DC,20003,,,2024-09-03,10292.25,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4667,,,CCM,REPUBLIC STRATEGIES,,,,,,611 PENNSYLVANIA AVENUE,SUITE 396,WASHINGTON,DC,20003,,,2024-09-13,3750.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4663,,,IND,,STEIL,BRYAN,,,,1818 MILTON AVENUE,#1448,JANESVILLE,WI,53545,,,2024-09-09,731.41,,EXPENSE REIMBURSEMENT,,,,,,,,,,,,,,,,,,,,
SB21B,C00697326,SB21B.4663.0,SB21B.4663,SB21B,ORG,HERTZ RENT-A-CAR,,,,,,1017 RENTAL CAR DRIVE,,RALEIGH,NC,27623,,,2024-08-14,731.41,,TRANSPORTATION SERVICE,,,,,,,,,,,,,,,,,,,X,
