form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00851592,EB1628,,,ORG,River City Business Services,,,,,,5445 Madison Ave,,Sacramento,CA,95841,,,2024-12-04,1028.85,,"Bookkeeping, Postage, Copies, Supplies and Software Fee",001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1638,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-04,11.50,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1631,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-10,15.45,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1630,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-11,15.15,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1668,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-12,3.72,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1629,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-12,2.14,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1670,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-18,27.09,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1669,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-19,4.95,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1688,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-23,9.90,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1689,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-24,16.45,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1701,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-25,3.50,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1720,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-26,0.71,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1702,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,S. San Francisco,CA,94080,,,2024-12-27,4.68,,Processing Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851592,EB1700,,,ORG,The Whitewood Group LLC,,,,,,4868 Lindley Avenue,,Encino,CA,91316,,,2024-12-27,2000.00,,General Campaign Consulting,001,,,,,,,,,,,,,,,,,,,
