form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00670216,SB21B.37423,,,ORG,ActBlue Technical Services,,,,,,PO Box 441146,,Somerville,MA,02144,,,2023-12-31,3440.81,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37463,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-07-06,2139.19,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37474,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-08-07,2189.56,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37489,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-09-06,2072.72,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37495,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-09-25,10.60,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37498,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-10-06,2120.55,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37503,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-10-24,10.60,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37507,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-11-06,1969.06,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37514,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-11-24,10.32,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37520,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-12-06,2004.88,,Database Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00670216,SB21B.37526,,,ORG,Action Squared LLC,,,,,,"1900 L Street, NW",Suite 900,Washington,DC,20036,,,2023-12-26,10.60,,Database Management,,,,,,,,,,,,,,,,,,,,
