form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00606962,SB29.208080,,,PAC,ACTION NC,,,,,,5500 EXECUTIVE CENTER DRIVE,SUITE 234,CHARLOTTE,NC,28212,,,2024-10-18,50000.00,,contribution,,C90016759,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208088,,,ORG,Angle Mastagni Matthews Political Strategies,,,,,,507 N Sylvania Ave,,Fort Worth,TX,76111,,,2024-11-04,83554.00,,phone banks for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208092,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-23,44112.41,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208093,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-24,44112.41,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208094,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-24,44112.41,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208095,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-24,24058.36,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208096,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-24,24058.36,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208097,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-25,22757.86,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208091,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-28,44968.64,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208098,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-28,22757.86,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208050,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-31,27378.89,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208051,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-10-31,38913.61,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208089,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-11-01,55176.16,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208099,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-11-01,17824.64,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208090,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2024-11-07,46743.69,,direct mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208364,,,ORG,Base Builder,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2024-10-22,22811.40,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208390,,,ORG,Base Builder,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2024-10-24,591573.50,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208391,,,ORG,Base Builder,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2024-11-20,563670.50,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208056,,,ORG,Bruha Agency,,,,,,650 N Central Ave,,Phoenix,AZ,85012,,,2024-10-23,1200.00,,printed literature for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.208396,,,ORG,CCM&Co,,,,,,1022 Boulevard 329,,West Hartford,CT,06119,,,2024-10-23,3553.00,,postcards for non-federal election,,,,,,,,,,,,,,,,,,,,
