form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00651042,500404860,,,ORG,Apollo Artistry,,,,,,1730 N Clark St,,Chicago,IL,606145883,,,2024-12-23,300.00,0.00,Web Hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404870,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW,Ste C,Washington,DC,200094827,,,2024-12-05,161148.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404851,,,IND,,O'Brien,Abigail,,,,PO Box 3015,,Tucson,AZ,857023015,,,2024-11-26,10333.00,0.00,Political Strategy Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404871,,,ORG,Mothership Strategies,,,,,,1328 Florida Ave NW,Ste C,Washington,DC,200094827,,,2024-12-19,17881.14,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404881,,,ORG,Target,,,,,,1000 Nicollet Mall,,Minneapolis,MN,554032542,,,2024-12-30,72.40,0.00,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404852,,,IND,,Maioriello-Gallus,Carmen,,,,PO Box 3015,,Tucson,AZ,857023015,,,2024-12-04,5200.00,0.00,Political Strategy Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404862,,,ORG,Chloe Restaurant,,,,,,1331 4Th St SE,,Washington,DC,200034459,,,2024-11-26,191.70,0.00,Meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404872,,,ORG,"NGP VAN, Inc.",,,,,,1101 15Th St NW,Ste 500,Washington,DC,200055006,,,2024-12-20,18407.70,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404882,,,ORG,"The Money Wheel, LLC",,,,,,2828 N Central Ave,Ste 1014,Phoenix,AZ,850041021,,,2024-12-23,7870.00,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404853,,,IND,,Richardson,Lezah,M.,,,PO Box 3015,,Tucson,AZ,857023015,,,2024-12-19,112.50,0.00,Political Strategy Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404873,,,ORG,"NGP VAN, Inc.",,,,,,1101 15Th St NW,Ste 500,Washington,DC,200055006,,,2024-12-20,7167.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404883,,,ORG,Uber,,,,,,1455 Market St,Ste 600,San Francisco,CA,941031332,,,2024-12-16,9.99,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500403683,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-12-08,2506.91,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404854,,,IND,,Richardson,Lezah,M.,,,PO Box 3015,,Tucson,AZ,857023015,,,2024-12-23,1000.00,0.00,Political Strategy Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404864,,,ORG,"Expedia, Inc.",,,,,,333 108Th Ave NE,,Bellevue,WA,980045703,,,2024-12-23,584.40,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404874,,,ORG,"NGP VAN, Inc.",,,,,,1101 15Th St NW,Ste 500,Washington,DC,200055006,,,2024-12-20,7167.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404884,,,ORG,Valentine PHX,,,,,,4130 N 7Th Ave,,Phoenix,AZ,850133072,,,2024-12-23,308.86,0.00,Meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500403684,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-12-15,1806.30,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404625,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-12-22,1680.17,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404865,,,ORG,"Expedia, Inc.",,,,,,333 108Th Ave NE,,Bellevue,WA,980045703,,,2024-12-30,290.31,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404856,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-11-27,410.75,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00651042,500404866,,,ORG,Flower Child,,,,,,100 E Camelback Rd,,Phoenix,AZ,850121060,,,2024-12-23,12.49,0.00,Meals,,,,,,,,,,,,,,,,,,,,
