form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00163832,B862213,,,COM,Beshear Coleman Inaugural 2023,,,,,,250 W. Main St. Suite 2900,,Lexington,KY,40507,O2023,Not Applicable,2023-12-15,5000.00,,State Inaugural Cmte,011,,,,,,,,,,, ,,,,,,,,
SB29,C00163832,B861635,,,CCM,Committee to Elect Lisa Barnes,,,,,,302 Bend of River Road,,Spring Hope,NC,27882,P2024,,2023-12-07,250.00,,P-2024 State Senate 11 NC,011,,,,Barnes,Lisa,S,,,S,NC,11,,,,,,,,
SB29,C00163832,B861607,,,CCM,John Bell Committee,,,,,,501 Holland Hill Drive,,Goldsboro,NC,27530,P2024,,2023-12-07,500.00,,P-2024 State House 10 NC,011,,,,Bell,John,,,,H,NC,10,,,,,,,,
SB29,C00163832,B861647,,,CCM,Phil Berger Campaign,,,,,,PO Box 528,,Eden,NC,27289,P2024,,2023-12-07,750.00,,P-2024 State Senate 26 NC,011,,,,Berger,Phillip,,,,S,NC,26,,,,,,,,
SB29,C00163832,B861636,,,CCM,Citizens for Dan Blue,,,,,,P.O. Box 287,,Raleigh,NC,27602,P2024,,2023-12-07,500.00,,P-2024 State Senate 14 NC,011,,,,Blue,Daniel,T,,Jr.,S,NC,14,,,,,,,,
SB29,C00163832,B861640,,,CCM,Danny Britt for NC Senate,,,,,,1101  N Walnut Street,,Lumberton,NC,28358,P2024,,2023-12-07,250.00,,P-2024 State Senate 24 NC,011,,,,Britt,Danny,E,,,S,NC,24,,,,,,,,
SB29,C00163832,B861637,,,CCM,Chaudhuri for New North Carolina,,,,,,301 Hillsborough St. Suite 950,,Raleigh,NC,27603,P2024,,2023-12-07,250.00,,P-2024 State Senate 15 NC,011,,,,Chaudhuri,Jay,,,,S,NC,15,,,,,,,,
SB29,C00163832,B861659,,,CCM,Alan Chesser for NC House,,,,,,9578 Valley Rd.,,Middlesex,NC,27557,P2024,,2023-12-07,250.00,,P-2024 State House 25 NC,011,,,,Chesser,Allen,,,,H,NC,25,,,,,,,,
SB29,C00163832,B861657,,,CCM,Fontenot for NC House 24,,,,,,5904 Nobleman Court,,Elm City,NC,27822,P2024,,2023-12-07,250.00,,P-2024 State House 24 NC,011,,,,Fontenot,Ken,,,,H,NC,24,,,,,,,,
SB29,C00163832,B861630,,,CCM,Citizens for Destin Hall,,,,,,606 College Avenue SW,,Lenoir,NC,28645,P2024,,2023-12-07,500.00,,P-2024 State House 87 NC,011,,,,Hall,Destin,,,,H,NC,87,,,,,,,,
SB29,C00163832,B861628,,,CCM,Julia Howard for House Cmte,,,,,,330 S. Salisbury St.,,Mocksville,NC,27028,P2024,,2023-12-07,250.00,,P-2024 State House 77 NC,011,,,,Howard,Julia,C,,,H,NC,77,,,,,,,,
SB29,C00163832,B861615,,,CCM,Committee to Elect Frank Iler,,,,,,P.O. Box 1412,,Shallotte,NC,28459,P2024,,2023-12-07,750.00,,P-2024 State House 17 NC,011,,,,Iler,Frank,,,,H,NC,17,,,,,,,,
SB29,C00163832,B861623,,,CCM,Committee to Elect Brenden Jones,,,,,,PO Box 1,,Tabor City,NC,28463,P2024,,2023-12-07,750.00,,P-2024 State House 46 NC,011,,,,Jones,Brenden,,,,H,NC,46,,,,,,,,
SB29,C00163832,B861633,,,CCM,Lazzara for NC Senate,,,,,,105 Dover Lane,,Jacksonville,NC,28540,P2024,,2023-12-07,750.00,,P-2024 State Senate 06 NC,011,,,,Lazzara,Michael,,,,S,NC,06,,,,,,,,
SB29,C00163832,B861649,,,CCM,Paul Lowe NC Senate,,,,,,PO Box 20262,,Winston Salem,NC,27120,P2024,,2023-12-07,250.00,,P-2024 State Senate 32 NC,011,,,,Lowe,Paul,,,,S,NC,32,,,,,,,,
SB29,C00163832,B861638,,,CCM,McInnis for State Senate,,,,,,PO Box 3776,,Pinehurst,NC,28374,P2024,,2023-12-07,750.00,,P-2024 State Senate 21 NC,011,,,,McInnis,Thomas,,,,S,NC,21,,,,,,,,
SB29,C00163832,B861629,,,CCM,Committee to Elect McNeely for NC House,,,,,,191 New Sterling Rd.,,Stony Point,NC,28678,P2024,,2023-12-07,750.00,,P-2024 State House 84 NC,011,,,,McNeely,Jeff,,,,H,NC,84,,,,,,,,
SB29,C00163832,B861631,,,CCM,Cmte to Elect Tim Moore,,,,,,305 E King St,,Kings Mountain,NC,28086,P2024,,2023-12-07,500.00,,P-2024 State House 111 NC,011,,,,Moore,Tim,,,,H,NC,11,,,,,,,,
SB29,C00163832,B861626,,,CCM,Ben Moss NC House,,,,,,316 Old Cheraw Highway,,Rockingham,NC,28379,P2024,,2023-12-07,500.00,,P-2024 State House 52 NC,011,,,,Moss,Ben,,,,H,NC,52,,,,,,,,
SB29,C00163832,B861651,,,CCM,Newton for Senate,,,,,,PO Box 145,,Mt. Pleasant,NC,28124,P2024,,2023-12-07,500.00,,P-2024 State Senate 34 NC,011,,,,Newton,Paul,,,,S,NC,34,,,,,,,,
SB29,C00163832,B861634,,,CCM,Rabon for Senate,,,,,,404 W. Brunswick St.,,Southport,NC,28461,P2024,,2023-12-07,500.00,,P-2024 State Senate 8 NC,011,,,,Rabon,Bill,,,,S,NC,08,,,,,,,,
SB29,C00163832,B861627,,,CCM,Committee to Elect Robert T. Reives II,,,,,,P.O. Box 36,,Sanford,NC,27331,P2024,,2023-12-07,500.00,,P-2024 State House 54 NC,011,,,,Reives,Robert,T,,II,H,NC,54,,,,,,,,
SB29,C00163832,B861652,,,CCM,Committee to Elect Vickie Sawyer,,,,,,PO Box 97275,,Raleigh,NC,27624,P2024,,2023-12-07,750.00,,P-2024 State Senate 37 NC,011,,,,Sawyer,Vickie,,,,S,NC,37,,,,,,,,
SB29,C00163832,B861613,,,CCM,Cmte. to Elect Phil Shepard,,,,,,PO Box 335,,Jacksonville,NC,28541,P2024,,2023-12-07,750.00,,P-2024 State House 15 NC,011,,,,Shepard,Phil,,,,H,NC,15,,,,,,,,
