form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00794024,SB21B.4524,,,ORG,ASHBY LAW,,,,,,602 CAMERON STREET,,ALEXANDRIA,VA,22314,,,2023-08-07,853.13,,LEGAL FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4525,,,ORG,CT CORP,,,,,,1209 ORANGE ST,,WILMINGTON,DE,19801,,,2023-11-10,475.00,,REGISTERED AGENT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4508,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-07-26,11231.84,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4509,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-08-28,11231.84,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4510,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-09-18,1577.64,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4511,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,P2024,,2023-09-19,1440.00,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4512,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-09-27,15694.63,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4514,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-10-02,3123.25,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4515,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-10-13,8343.36,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4516,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-10-27,16206.12,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4517,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-10-30,772.32,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4518,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-12-01,8067.06,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4519,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-12-04,1337.04,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4520,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-12-14,266.83,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4521,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-12-15,4628.55,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4522,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-12-27,2880.00,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4523,,,ORG,PURPLE SURFBOARD,,,,,,27 MARYLAND AVE,,ANNAPOLIS,MD,21401,,,2023-12-31,840.00,,STAFFING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00794024,SB21B.4533,,,ORG,RAGNAR RESEARCH PARTNERS,,,,,,1015 WATERWOOD PKWY,,EDMOND,OK,73034,,,2023-11-20,45000.00,,RESEARCH SERVICES,,,,,,,,,,,,,,,,,,,,
