form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00827295,500763035,,,ORG,Bowman for Congress,,,,,,81 Pondfield Rd,Ste D351,Bronxville,NY,107083818,,,2024-12-06,13000.00,0.00,List Acquisition Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763043,,,ORG,Hertz,,,,,,8501 Williams Rd,Fl 3,Estero,FL,339283325,,,2024-12-09,858.18,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763039,,,ORG,Hilton,,,,,,7930 Jones Branch Dr,,Mclean,VA,221023388,,,2024-12-09,95.19,0.00,Hotel Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763036,,,ORG,HotelTonight,,,,,,901 Market St,Ste 310,San Francisco,CA,941031752,,,2024-12-02,135.00,0.00,Hotel Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763037,,,ORG,HotelTonight,,,,,,901 Market St,Ste 310,San Francisco,CA,941031752,,,2024-12-02,127.00,0.00,Hotel Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763038,,,ORG,HotelTonight,,,,,,901 Market St,Ste 310,San Francisco,CA,941031752,,,2024-12-09,189.00,0.00,Hotel Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763295,,,ORG,NGP Van Inc,,,,,,655 15th St NW,,Washington,DC,200055701,,,2024-12-19,1517.25,0.00,Database services,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763296,,,ORG,NGP Van Inc,,,,,,655 15th St NW,,Washington,DC,200055701,,,2024-12-19,1300.50,0.00,Database services,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763297,,,ORG,NGP Van Inc,,,,,,655 15th St NW,,Washington,DC,200055701,,,2024-12-19,1300.50,0.00,Database services,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763298,,,ORG,NGP Van Inc,,,,,,655 15th St NW,,Washington,DC,200055701,,,2024-12-19,1517.25,0.00,Database services,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763040,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-12-02,752.96,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763042,,,ORG,Southwest Airlines,,,,,,2702 Love Field Dr,,Dallas,TX,752351908,,,2024-12-02,139.51,0.00,Transportation Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763045,,,ORG,Weinberg Partners Ltd,,,,,,9205 W Russell Rd,Ste 240,Las Vegas,NV,891481425,,,2024-12-13,420.00,0.00,Accounting & Compliance Reporting Expense,,,,,,,,,,,,,,,,,,,,
SB21B,C00827295,500763046,,,ORG,Weinberg Partners Ltd,,,,,,9205 W Russell Rd,Ste 240,Las Vegas,NV,891481425,,,2024-12-13,1420.00,0.00,Accounting & Compliance Reporting Expense,,,,,,,,,,,,,,,,,,,,
