form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00774323,SB21B-1013245,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-11-19,5026.25,50132.55,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013247,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-11-01,316.31,847.11,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013249,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-11-08,15.02,847.11,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013251,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-11-18,15.02,847.11,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1014137,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-11-08,333.00,76782.93,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013253,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-21,43.05,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013255,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-22,2962.55,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013257,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-25,43.34,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013259,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-01,35.51,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013261,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-12,29.42,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013263,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-15,41.31,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013265,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-21,1032.27,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013267,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-22,61.70,4249.15,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013269,,,ORG,RALLYPAY,,,,,,995 MARKET STREET,FLOOR 2,SAN FRANCISO,CA,94103,,,2024-10-21,64.00,11615.64,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1013271,,,ORG,RALLYPAY,,,,,,995 MARKET STREET,FLOOR 2,SAN FRANCISO,CA,94103,,,2024-11-12,49.00,11615.64,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1014139,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-11-08,333.00,56201.75,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00774323,SB21B-1014141,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-11-08,333.00,144193.02,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
