form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00828251,SB21B.4578,,,ORG,9Seven Consuling LLC,,,,,,PO Box 183,,Hudson,WI,54016,,,2023-02-14,389.95,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4477,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-02-28,166.09,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4606,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-03-06,1.22,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4605,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-03-13,42.15,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4604,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-03-20,3.50,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4584,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-03-31,9.80,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4640,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-04-04,54.07,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4641,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-04-12,81.27,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4642,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-04-21,23.09,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4643,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-04-25,5.05,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4707,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-05-07,32.43,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4708,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-05-12,169.66,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4709,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-05-21,2.00,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4710,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-05-31,0.49,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4799,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-06-03,1.72,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4800,,,ORG,Anedot,,,,,,1340 Poydras St,Suite 1770,New Orleans,LA,70112,,,2023-06-30,4.01,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4766,,,ORG,"AxCapital, LLC",,,,,,800 W 47th St,Ste 200,Kansas City,MO,64112,,,2023-06-09,300.00,,Compliance Consulting,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4469,,,ORG,Red Brand Media,,,,,,3816 Bay Ct,,Fort Worth,TX,76179,,,2023-02-14,3391.83,,Media Consulting,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4124,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-01-05,269.73,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4168,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-01-12,1166.95,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4472,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-01-12,65.36,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4333,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-01-26,60.42,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
SB21B,C00828251,SB21B.4424,,,ORG,Winred Technical Services,,,,,,1776 Wilson Blvd,Suite 530,Arlington,VA,22209,,,2023-01-31,0.51,,Credit Card Fees,001,C00828251,Border Security Coalition,,,,,,,,,,,,,,,,,
