form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00540054,SB21B.7353,,,ORG,BB&T,,,,,,"1909 K St., NW",,Washington,DC,20006,,,2023-11-14,4961.65,,Credit Card Payment- See Memos,,,,,,,,,,,,,,,,,,,,
SB21B,C00540054,SB21B.7353.0,SB21B.7353,SB21B,ORG,United Airlines,,,,,,233 South Wacker Drive,,Chicago,IL,60606,,,2023-11-04,453.90,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.1,SB21B.7353,SB21B,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,76155,,,2023-11-04,437.39,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.2,SB21B.7353,SB21B,ORG,Marriott JW Camelback,,,,,,5402 E Lincoln Dr.,,Scottsdale,AZ,85253,,,2023-11-04,846.35,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.3,SB21B.7353,SB21B,ORG,United Airlines,,,,,,233 South Wacker Drive,,Chicago,IL,60606,,,2023-11-04,453.90,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.4,SB21B.7353,SB21B,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,76155,,,2023-11-04,434.17,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.5,SB21B.7353,SB21B,ORG,The Monocle,,,,,,107 D St. NE,,Washington,DC,20002,,,2023-11-04,278.00,,Event Catering,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.6,SB21B.7353,SB21B,ORG,US Senate Gift Shop,,,,,,50 Constitution Ave. NE,,Washington,DC,20510,,,2023-11-04,991.25,,Constituent Gifts,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.7,SB21B.7353,SB21B,ORG,Marriott JW Camelback,,,,,,5402 E Lincoln Dr.,,Scottsdale,AZ,85253,,,2023-11-04,880.61,,Travel,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7353.10,SB21B.7353,SB21B,ORG,BB&T,,,,,,"1909 K St., NW",,Washington,DC,20006,,,2023-11-04,20.00,,Bank Fee,,,,,,,,,,,,,,,,,,,X,
SB21B,C00540054,SB21B.7354,,,ORG,Cornhusker Consulting Group,,,,,,2821 West Covered Bridge Dr.,,Lincoln,NE,68523,,,2023-11-06,4287.21,,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00540054,SB21B.7351,,,ORG,Holtzman Vogel,,,,,,15405 John Marshall Highway,,Haymarket,VA,20169,,,2023-11-09,900.00,,Legal Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00540054,SB21B.7350,,,ORG,Huckaby Davis Lisker,,,,,,228 S Washington Street,Ste 115,Alexandria,VA,22314,,,2023-11-09,1905.11,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
