form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00467431,SB23.I105973,,,CCM,DOUG LAMALFA COMMITTEE,,,,,,9458 TREELAKE RD.,,GRANITE BAY,CA,95746,G2024,,2024-07-08,5000.00,,CONTRIBUTION TO COMMITTEE,,C00509422,,H2CA02142,LAMALFA,DOUG,,,,H,CA,01,  ,,,,,,,
SB23,C00467431,SB23.I105974,,,CCM,JAMES MOYLAN FOR CONGRESS,,,,,,P.O. BOX 6394,,HAGATNA,GU,96931,G2024,,2024-07-08,5000.00,,CONTRIBUTION TO COMMITTEE,,C00809343,,H2GU01031,MOYLAN,JAMES,C.,,,H,GU,00,  ,,,,,,,
SB23,C00467431,SB23.I105975,,,CCM,JEFF HURD FOR CONGRESS,,,,,,2695 PATTERSON ROAD,,GRAND JUNCTION,CO,81506,G2024,,2024-07-08,5000.00,,CONTRIBUTION TO COMMITTEE,,C00848333,,H4CO03357,HURD,JEFFREY,,,,H,CO,03,  ,,,,,,,
SB23,C00467431,SB23.I105979,,,CCM,RICK W. ALLEN FOR CONGRESS,,,,,,P.O. BOX 338,,AUGUSTA,GA,30903,P2024,,2024-07-08,5000.00,,CONTRIBUTION TO COMMITTEE,,C00504019,,H2GA12121,ALLEN,RICHARD ,W,,,H,GA,12,  ,,,,,,,
SB23,C00467431,SB23.I105976,,,CCM,SCOTT FRANKLIN FOR CONGRESS,,,,,,P.O. BOX 2811,,LAKELAND,FL,33806,G2024,,2024-07-08,5000.00,,CONTRIBUTION TO COMMITTEE,,C00742247,,H0FL15104,FRANKLIN,SCOTT,,MR.,,H,FL,15,  ,,,,,,,
SB23,C00467431,SB23.I105980,,,CCM,TROY DOWNING FOR CONGRESS,,,,,,PO BOX 322,,HELENA,MT,59624,O2024,PRIMARY DEBT,2024-07-08,5000.00,,CONTRIBUTION TO COMMITTEE,,C00855288,,H4MT02098,DOWNING,TROY,,,,H,MT,02,  ,,,,,,,
SB23,C00467431,SB23.I105977,,,CCM,WEBER FOR CONGRESS,,,,,,1701 BENDING STREAM,,FRIENDSWOOD,TX,775461327,G2024,,2024-07-08,5000.00,,CONTRIBUTION TO COMMITTEE,,C00502229,,H2TX14149,WEBER,RANDY,,,,H,TX,14,  ,,,,,,,
SB23,C00467431,SB23.I105972,,,CCM,FRIENDS OF DUSTY JOHNSON,,,,,,P.O. BOX 278,,MITCHELL,SD,57301,G2024,,2024-07-15,5000.00,,CONTRIBUTION TO COMMITTEE,,C00628917,,H8SD01055,JOHNSON,DUSTY,,,,H,SD,00,  ,,,,,,,
SB23,C00467431,SB23.I105981,,,CCM,MACKENZIE FOR CONGRESS COMMITTEE,,,,,,PO BOX 747,,EMMAUS,PA,18049,O2024,PRIMARY DEBT,2024-07-15,5000.00,,CONTRIBUTION TO COMMITTEE,,C00846501,,H8PA15195,MACKENZIE,RYAN,EDWARD,,,H,PA,07,  ,,,,,,,
SB23,C00467431,SB23.I105982,,,CCM,JEFF CRANK FOR CONGRESS,,,,,,9235 N UNION BLVD,STE 150-164,COLORADO SPRINGS,CO,80920,O2024,PRIMARY DEBT,2024-07-22,5000.00,,CONTRIBUTION TO COMMITTEE,,C00865592,,H6CO05142,CRANK,JEFF,,,,H,CO,05,  ,,,,,,,
SB23,C00467431,SB23.I105978,,,CCM,ROGERS FOR SENATE,,,,,,PO BOX 132,,SAINT JOSEPH,MI,490850132,G2024,,2024-07-22,5000.00,,CONTRIBUTION TO COMMITTEE,,C00849810,,S4MI00595,ROGERS,MICHAEL,J,,,S,MI,,  ,,,,,,,
