form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00111278,SB21B.11682,,,ORG,Calibre CPA Group,,,,,,7501 Wisconsin Ave.,Ste. 1200 West,Bethesda,MD,20814,,,2023-10-30,1000.00,,Accounting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11728,,,ORG,Cybersource Corp.,,,,,,PO Box 742842,,Los Angeles,CA,90074,,,2023-07-01,50.00,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11729,,,ORG,Cybersource Corp.,,,,,,PO Box 742842,,Los Angeles,CA,90074,,,2023-08-04,50.00,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11681,,,ORG,Cybersource Corp.,,,,,,PO Box 742842,,Los Angeles,CA,90074,,,2023-10-06,50.00,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11683,,,ORG,Cybersource Corp.,,,,,,PO Box 742842,,Los Angeles,CA,90074,,,2023-11-06,50.00,,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11730,,,ORG,Global Pay,,,,,,10705 Red Run Blvd.,,Owings,MD,21117,,,2023-07-03,72.45,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11733,,,ORG,Global Pay,,,,,,10705 Red Run Blvd.,,Owings,MD,21117,,,2023-08-02,72.45,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11736,,,ORG,Global Pay,,,,,,10705 Red Run Blvd.,,Owings,MD,21117,,,2023-09-05,72.45,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11678,,,ORG,Global Pay,,,,,,10705 Red Run Blvd.,,Owings,MD,21117,,,2023-10-02,72.45,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11675,,,ORG,Global Pay,,,,,,10705 Red Run Blvd.,,Owings,MD,21117,,,2023-11-02,72.45,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11672,,,ORG,Global Pay,,,,,,10705 Red Run Blvd.,,Owings,MD,21117,,,2023-12-04,72.45,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11684,,,ORG,Huckaby Davis Lisker Inc.,,,,,,"228 S. Washington St., Ste. 115",,Alexandria,VA,22314,,,2023-11-06,450.00,,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11679,,,ORG,TSYS,,,,,,One TSYS Way,,Columbus,GA,31901,,,2023-10-10,19.79,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11676,,,ORG,TSYS,,,,,,One TSYS Way,,Columbus,GA,31901,,,2023-11-10,20.69,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11674,,,ORG,TSYS,,,,,,One TSYS Way,,Columbus,GA,31901,,,2023-12-11,17.88,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11732,,,ORG,Wells Fargo,,,,,,PO Box 63020,,San Francisco,CA,94163,,,2023-07-11,84.47,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11735,,,ORG,Wells Fargo,,,,,,PO Box 63020,,San Francisco,CA,94163,,,2023-08-11,85.03,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11737,,,ORG,Wells Fargo,,,,,,PO Box 63020,,San Francisco,CA,94163,,,2023-09-11,85.23,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11680,,,ORG,Wells Fargo,,,,,,PO Box 63020,,San Francisco,CA,94163,,,2023-10-11,84.47,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11677,,,ORG,Wells Fargo,,,,,,PO Box 63020,,San Francisco,CA,94163,,,2023-11-13,85.03,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00111278,SB21B.11673,,,ORG,Wells Fargo,,,,,,PO Box 63020,,San Francisco,CA,94163,,,2023-12-11,85.03,,Bank Fee,,,,,,,,,,,,,,,,,,,,
