form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00746107,500113522,,,ORG,Alliance Bank,,,,,,217 N Kingshighway St,,Cape Girardeau,MO,637014329,G2024,,2024-07-23,33.19,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113523,,,ORG,Alliance Bank,,,,,,217 N Kingshighway St,,Cape Girardeau,MO,637014329,G2024,,2024-08-21,7.67,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113524,,,ORG,Alliance Bank,,,,,,217 N Kingshighway St,,Cape Girardeau,MO,637014329,G2024,,2024-09-23,84.57,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113921,,,IND,,Clowes,Casey,,,,530 E Mcdowell Rd,,Phoenix,AZ,850041549,,,2024-08-09,6180.00,0.00,Reimbursement - Vendors that aggregate over $200 listed below,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113920,500113921,SB21B,ORG,Lamar Advertising,,,,,,7310 N 16Th St,Ste 285,Phoenix,AZ,850208204,,,2024-08-09,6180.00,0.00,Media,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00746107,500113525,,,ORG,Fisher Phx,,,,,,2944 N 44Th St,,Phoenix,AZ,850187257,G2024,,2024-07-02,15000.00,0.00,Media,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113526,,,ORG,Fisher Phx,,,,,,2944 N 44Th St,,Phoenix,AZ,850187257,G2024,,2024-07-02,16588.00,0.00,Media,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500096148,,,ORG,Fisher Phx,,,,,,2944 N 44Th St,,Phoenix,AZ,850187257,G2024,,2024-08-20,31250.00,0.00,Media,,C00703975,,,Harris,Kamala,,,,P,,,,,,,,,,
SB21B,C00746107,500113527,,,ORG,Fisher Phx,,,,,,2944 N 44Th St,,Phoenix,AZ,850187257,G2024,,2024-09-27,52679.00,0.00,Media,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113528,,,ORG,J&R Graphics And Printing,,,,,,638 W Indian School Rd,,Phoenix,AZ,850133136,G2024,,2024-09-30,988.26,0.00,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500141814,,,ORG,Mango Skies LLC,,,,,,4626 N 16Th St,Apt 1453,Phoenix,AZ,850165153,,,2024-07-21,-3450.00,0.00,Media,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113529,,,ORG,Mango Skies LLC,,,,,,4626 N 16Th St,Apt 1453,Phoenix,AZ,850165153,G2024,,2024-07-29,1000.00,0.00,Media,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113530,,,ORG,Mango Skies LLC,,,,,,4626 N 16Th St,Apt 1453,Phoenix,AZ,850165153,G2024,,2024-07-29,950.00,0.00,Media,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113531,,,ORG,Mango Skies LLC,,,,,,4626 N 16Th St,Apt 1453,Phoenix,AZ,850165153,G2024,,2024-07-29,200.00,0.00,Media,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113532,,,ORG,NGP,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,G2024,,2024-08-05,718.33,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113533,,,ORG,NGP,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,G2024,,2024-08-05,1086.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113534,,,ORG,NGP,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,G2024,,2024-09-03,1086.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113535,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-08-16,232.45,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00746107,500113536,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,G2024,,2024-09-05,579.62,0.00,Software,,,,,,,,,,,,,,,,,,,,
