form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00735472,500187100,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-23,1620.73,0.00,Payment for bus rental-charter #00920328,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500185710,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-08-29,3642.95,0.00,Payment-Bus Rental (Charter # 303978231),,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500184860,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-07-07,309.13,0.00,Act Blue Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500188980,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-09-29,61.23,0.00,Processing of credit card donations,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500187101,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-23,3669.17,0.00,Payment for bus rental-charter #00920165,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500184861,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-07-14,259.74,0.00,Act Blue Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500187102,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-23,1649.18,0.00,Payment for bus rental-charter #00920171,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500186112,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-09-06,0.60,0.00,ACT Blue Fee,001,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500188052,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-09-23,14.75,0.00,Act Blue Fee,001,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500184862,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-07-21,203.04,0.00,Act Blue Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500186372,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-17,1834.59,0.00,Payment-Bus rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500188982,,,ORG,Eventbrite,,,,,,535 Mission Street,8th Flr.,San Francisco,CA,941053223,G2024,,2024-09-25,295.03,0.00,Fee for processing credit card donations,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500184863,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-07-28,289.36,0.00,Act Blue Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500186373,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-17,1666.14,0.00,Payment-Bus Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500181783,,,ORG,Everyaction,,,,,,1445 New York Ave NW Ste 200,Suite 200,Washington,DC,200052158,G2024,,2024-07-02,514.43,0.00,FEC Compliance Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500188983,,,ORG,Eventbrite,,,,,,535 Mission Street,8th Flr.,San Francisco,CA,941053223,G2024,,2024-09-26,153.25,0.00,Fee for processing credit card donations,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500189324,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-09-16,31.02,0.00,Act Blue Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500184864,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-08-19,250.85,0.00,Act Blue Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500186374,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-17,1834.59,0.00,Payment-Bus Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500186194,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-11,2077.53,0.00,Remainder of fee for rental of 2 buses,002,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500188765,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-27,1649.18,0.00,Rental of Charter Bus #00920181,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500188766,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-09-27,1814.10,0.00,Rental of Charter Bus #00920179,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500186147,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-09-08,19.75,0.00,Act Blue Fee,001,C00401224,,,,,,,,,,,,,,,,,,Fee for collecting donations
SB21B,C00735472,500187108,,,ORG,Eventbrite,,,,,,535 Mission Street,8th Flr.,San Francisco,CA,941053223,G2024,,2024-09-18,292.73,0.00,Fee for processing of credit card donations,,,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500185638,,,PAC,Act Blue,,,,,,366 Summer Street,,Somerville,MA,021443132,G2024,,2024-08-26,41.48,0.00,Act Blue Fee,001,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00735472,500184649,,,ORG,US Coachways,,,,,,960 Holmdel Rd.,Bldg. 1,Holmdel,NJ,077332100,G2024,,2024-08-29,1591.64,0.00,Deposit-Bus Rental,,,,,,,,,,,,,,,,,,,,
