form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00784694,SB23.4623,,,CCM,CISCOMANI FOR CONGRESS,,,,,,PO BOX 35103,,TUCSON,AZ,85740,P2024,,2023-12-29,2500.00,,Contribution,011,C00786194,CISCOMANI FOR CONGRESS,H2AZ02360,CISCOMANI,JUAN,,,,H,AZ,06,,,,,,,,
SB23,C00784694,SB23.4619,,,CCM,DON BACON FOR CONGRESS,,,,,,P.O. BOX 391368,,OMAHA,NE,68139,P2024,,2023-12-27,2500.00,,Contribution,011,C00575167,,,,,,,,H,NE,02,,,,,,,,
SB23,C00784694,SB23.4613,,,CCM,LALOTA FOR CONGRESS,,,,,,PO BOX 5744,,HAUPPAUGE,NY,11788,P2024,,2023-12-27,800.00,,Contribution,011,C00806018,LALOTA FOR CONGRESS,H0NY02200,LALOTA,NICHOLAS JOSEPH,,,,H,NY,02,,,,,,,,
SB23,C00784694,SB23.4676,,,CCM,LALOTA FOR CONGRESS,,,,,,PO BOX 5744,,HAUPPAUGE,NY,11788,P2024,,2023-12-27,1700.00,,Contribution,011,C00806018,LALOTA FOR CONGRESS,H0NY02200,LALOTA,NICHOLAS JOSEPH,,,,H,NY,02,,,,,,,,
SB23,C00784694,SB23.4609,,,CCM,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,P2024,,2023-09-27,800.00,,Contribution,011,C00815415,LAWLER FOR CONGRESS,H2NY17162,LAWLER,MICHAEL VINCENT,,,,H,NY,17,,,,,,,,
SB23,C00784694,SB23.4678,,,CCM,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,G2024,,2023-09-27,1700.00,,Contribution,011,C00815415,LAWLER FOR CONGRESS,H2NY17162,LAWLER,MICHAEL VINCENT,,,,H,NY,17,,,,,,,,
SB23,C00784694,SB23.4610,,,CCM,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,G2024,,2023-12-27,2500.00,,Contribution,011,C00815415,LAWLER FOR CONGRESS,H2NY17162,LAWLER,MICHAEL VINCENT,,,,H,NY,17,,,,,,,,
SB23,C00784694,SB23.4612,,,CCM,LORI CHAVEZ-DEREMER FOR CONGRESS,,,,,,11805 SE EASTBOURNE LANE,,HAPPY VALLEY,OR,97086,P2024,,2023-12-27,800.00,,Contribution,011,C00784520,LORI CHAVEZ-DEREMER FOR CONGRESS,H2OR05209,CHAVEZ-DEREMER,LORI,,,,H,OR,05,,,,,,,,
SB23,C00784694,SB23.4679,,,CCM,LORI CHAVEZ-DEREMER FOR CONGRESS,,,,,,11805 SE EASTBOURNE LANE,,HAPPY VALLEY,OR,97086,G2024,,2023-12-27,1700.00,,contribution,011,C00784520,LORI CHAVEZ-DEREMER FOR CONGRESS,H2OR05209,CHAVEZ-DEREMER,LORI,,,,H,OR,05,,,,,,,,
SB23,C00784694,SB23.4615,,,CCM,MONICA FOR CONGRESS,,,,,,PO BOX 4605,,MCALLEN,TX,78502,P2024,,2023-12-27,2500.00,,Contribution,011,C00765719,,,,,,,,H,TX,15,,,,,,,,
SB23,C00784694,SB23.4622,,,CCM,SALAZAR FOR CONGRESS,,,,,,3725 WEST FLAGLER STREET,#281,MIAMI,FL,33134,P2024,,2023-12-29,2500.00,,Contribution,011,C00714261,SALAZAR FOR CONGRESS,H8FL27185,SALAZAR,MARIA ELVIRA,,,,H,FL,27,,,,,,,,
