form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00457366,SB21B.4197,,,ORG,Calmetto Management Group,,,,,,883 NE Main Street,2nd Floor,Simpsonville,SC,29681,,,2024-01-09,2693.47,,Dinner Event Deposits,003,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4180,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-05,53.10,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4181,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-08,43.80,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4182,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-13,105.30,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4183,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-14,87.60,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4184,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-19,43.80,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4185,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-20,87.60,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4186,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-21,9.60,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4187,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-22,50.20,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4188,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-25,43.80,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00457366,SB21B.4189,,,ORG,"Square, Inc.",,,,,,1455 Market Street,,San Francisco,CA,94103,,,2024-03-25,17.70,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
