form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00102764,500065600,,,CCM,ADRIAN SMITH FOR CONGRESS,,,,,,3321 Avenue I,,Scottsbluff,NE,693614586,P2024,,2023-03-28,2500.00,0.00,2024 Primary,,C00412890,,,Smith,Adrian,,Rep.,,H,NE,03,,,,,,,,
SB23,C00102764,500065601,,,CCM,BLUMENAUER FOR CONGRESS,,,,,,901 SE Oak St,Ste 108,Portland,OR,972141338,P2024,,2023-03-28,2500.00,0.00,2024 Primary,,C00307314,,,Blumenauer,Earl,,Rep.,,H,OR,03,,,,,,,,
SB23,C00102764,500065593,,,CCM,BRIAN HIGGINS FOR CONGRESS,,,,,,PO Box 28,,Buffalo,NY,142200028,P2024,,2023-03-21,5000.00,0.00,2024 Primary,,C00401034,,,Higgins,Brian,,Rep.,,H,NY,26,,,,,,,,
SB23,C00102764,500065602,,,CCM,Cramer for Senate,,,,,,PO Box 396,,Bismarck,ND,585020396,P2024,,2023-03-21,2500.00,0.00,2024 Primary,,C00504704,,,Cramer,Kevin,,,,S,ND,,,,,,,,,
SB23,C00102764,500065592,,,CCM,DOGGETT FOR US CONGRESS,,,,,,PO Box 5843,,Austin,TX,787635843,P2024,,2023-03-07,2000.00,0.00,2024 Primary,,C00286500,,,Doggett,Lloyd,,Rep.,,H,TX,35,,,,,,,,
SB23,C00102764,500065598,,,CCM,GREG STEUBE FOR CONGRESS,,,,,,5317 Fruitville Rd,# 102,Sarasota,FL,342326402,P2024,,2023-03-21,2500.00,0.00,2024 Primary,,C00671891,,,Steube,Greg,,,,H,FL,17,,,,,,,,
SB23,C00102764,500065599,,,CCM,GREG STEUBE FOR CONGRESS,,,,,,5317 Fruitville Rd,# 102,Sarasota,FL,342326402,P2024,,2023-03-21,2500.00,0.00,2024 Primary,,C00671891,,,Steube,Greg,,,,H,FL,17,,,,,,,,
SB23,C00102764,500065597,,,CCM,GUTHRIE FOR CONGRESS,,,,,,PO Box 9639,,Bowling Green,KY,421029639,P2024,,2023-03-21,2500.00,0.00,2024 Primary,,C00445023,,,Guthrie,Brett,,Rep.,,H,KY,02,,,,,,,,
SB23,C00102764,500065594,,,CCM,JASON SMITH FOR CONGRESS,,,,,,PO Box 1324,,Cape Girardeau,MO,637021324,P2024,,2023-03-21,2500.00,0.00,2024 Primary,,C00541862,,,Smith,Jason,,Rep.,,H,MO,08,,,,,,,,
SB23,C00102764,500065596,,,CCM,Mark Alford for Congress,,,,,,PO Box 1428,,Raymore,MO,640831428,P2024,,2023-03-21,1000.00,0.00,2024 Primary,,C00792598,,,Alford,Mark,,,,H,MO,04,,,,,,,,
SB23,C00102764,500065595,,,PAC,Nutmeg PAC,,,,,,777 Summer St,,Stamford,CT,069011022,O2024,2023 Leadership PAC,2023-03-21,2500.00,0.00,2023 Leadership PAC,,C00492983,Nutmeg PAC,,,,,,,,,,,,,,,,,
SB23,C00102764,500065591,,,CCM,PALLONE FOR CONGRESS,,,,,,PO Box 3176,,Long Branch,NJ,077403176,P2024,,2023-03-07,2500.00,0.00,2024 Primary,,C00226928,,,Pallone,Frank,,Rep.,Jr.,H,NJ,06,,,,,,,,
