form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00053553,SB23.01,,,PTY,NRSC,,,,,,425 2ND STREET NE,,WASHINGTON,DC,20002,,,2023-08-01,15000.00,,2023 CONTRIBUTION,,C00027466,,,,,,,,,,,  ,,,,,,,
SB23,C00053553,SB23.75,,,CCM,ADRIAN SMITH FOR CONGRESS,,,,,,1126 AVENUE A,STE 6,SCOTTSBLUFF,NE,69361,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00412890,,H6NE03115,SMITH,ADRIAN,,,,H,NE,03,  ,,,,,,,
SB23,C00053553,SB23.35,,,CCM,ANDY HARRIS FOR CONGRESS,,,,,,PO BOX 6,,CAMBRIDGE,MD,21613,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00435974,,H8MD01094,HARRIS,ANDREW,P,,,H,MD,01,  ,,,,,,,
SB23,C00053553,SB23.41,,,CCM,ANDY OGLES FOR CONGRESS,,,,,,29 PUBLIC SQUARE,,COLUMBIA,TN,38401,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00811844,,H2TN05446,OGLES,ANDY,,,,H,TN,05,  ,,,,,,,
SB23,C00053553,SB23.03,,,CCM,ANN WAGNER FOR CONGRESS,,,,,,PO BOX 50,,BALLWIN,MO,63022,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00495846,,H2MO02102,WAGNER,ANN,L,,,H,MO,02,  ,,,,,,,
SB23,C00053553,SB23.72,,,CCM,ANNA PAULINA LUNA FOR CONGRESS,,,,,,1201 GANDY BLVD N,PO BOX 23064,SAINT PETERSBURG,FL,33742,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00718239,,H0FL13158,PAULINA LUNA,ANNA,,,,H,FL,13,  ,,,,,,,
SB23,C00053553,SB23.04,,,CCM,ASHLEY HINSON FOR CONGRESS,,,,,,PO BOX 811,,MARION,IA,52302,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00706267,,H0IA01174,ARENHOLZ,ASHLEY,HINSON,,,H,IA,02,  ,,,,,,,
SB23,C00053553,SB23.84,,,CCM,AUGUST PFLUGER FOR CONGRESS,,,,,,PO BOX 3530,,SAN ANGELO,TX,76902,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00719294,,H0TX11230,PFLUGER,AUGUST,LEE,,II,H,TX,11,  ,,,,,,,
SB23,C00053553,SB23.05,,,CCM,BALDERSON FOR CONGRESS,,,,,,4679 WINTERSET DR,,COLUMBUS,OH,43220,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00662650,,H8OH12180,BALDERSON,WILLIAM,TROY,,,H,OH,12,  ,,,,,,,
SB23,C00053553,SB23.39,,,CCM,BARRY MOORE FOR CONGRESS,,,,,,PO BOX 310815,,ENTERPRISE,AL,36331,P2024,,2023-09-26,1000.00,,CONTRIBUTION,,C00720375,,H8AL02171,MOORE,FELIX,BARRY,,,H,AL,01,  ,,,,,,,
