form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00444539,SB23.6401,,,CCM,CHRIS PAPPAS FOR CONGRESS,,,,,,PO BOX 313,,MANCHESTER,NH,03105,P2024,,2024-04-18,1000.00,,2024 Primary Contribution,,C00660464,,,,,,,,H,NH,01,,,,,,,,
SB23,C00444539,SB23.6404,,,CCM,CITIZENS TO ELECT RICK LARSEN,,,,,,PO Box 326,,Everett,WA,98206,P2024,,2024-04-18,2500.00,,2024 Primary Contribution,,C00345546,,,,,,,,H,WA,02,,,,,,,,
SB23,C00444539,SB23.6405,,,CCM,CITIZENS TO ELECT RICK LARSEN,,,,,,PO Box 326,,Everett,WA,98206,G2024,,2024-04-18,2500.00,,2024 General Contribution,,C00345546,,,,,,,,H,WA,02,,,,,,,,
SB23,C00444539,SB23.6395,,,CCM,CRAMER FOR SENATE,,,,,,PO BOX 396,,BISMARCK,ND,58502,P2024,,2024-04-18,1000.00,,2024 Primary Contribution,,C00504704,,,,,,,,S,ND,01,,,,,,,,
SB23,C00444539,SB23.6391,,,CCM,GRAVES FOR CONGRESS,,,,,,"2345 GRAND, SUITE 2400",,KANSAS CITY,MO,64108,G2024,,2024-04-18,2500.00,,2024 General Contribution,,C00359034,,,,,,,,H,MO,06,,,,,,,,
SB23,C00444539,SB23.6394,,,CCM,JEFFRIES FOR CONGRESS,,,,,,910 17TH ST NW,STE 925,WASHINGTON,DC,20006,P2024,,2024-04-18,2500.00,,2024 Primary Contribution,,C00503052,,,,,,,,H,NY,08,,,,,,,,
SB23,C00444539,SB23.6402,,,CCM,MESSMER FOR CONGRESS,,,,,,PO BOX 44003,,INDIANAPOLIS,IN,46244,P2024,,2024-04-18,1000.00,,2024 Primary Contribution,,C00867218,,,,,,,,H,IN,08,,,,,,,,
SB23,C00444539,SB23.6392,,,CCM,SALUD CARBAJAL FOR CONGRESS,,,,,,PO BOX 1290,,SANTA BARBARA,CA,93102,G2024,,2024-04-18,5000.00,,2024 General Contribution,,C00576041,,,,,,,,H,CA,24,,,,,,,,
SB23,C00444539,SB23.6399,,,CCM,STANTON FOR CONGRESS,,,,,,4340 E INDIAN SCHOOL ROAD,SUITE 21-518,PHOENIX,AZ,85018,P2024,,2024-04-18,1000.00,,2024 Primary Contribution,,C00657304,,,,,,,,H,AZ,09,,,,,,,,
SB23,C00444539,SB23.6400,,,CCM,TEAM HAGERTY,,,,,,4515 HARDING PIKE,SUITE 110,NASHVILLE,TN,37205,P2026,,2024-04-18,1000.00,,2026 Primary Contribution,,C00718627,,,,,,,,S,TN,00,,,,,,,,
SB23,C00444539,SB23.6397,,,CCM,TEXANS FOR JODEY ARRINGTON,,,,,,PO BOX 6687,,LUBBOCK,TX,79493,G2024,,2024-04-18,1000.00,,2024 General Contribution,,C00588657,,,,,,,,H,TX,19,,,,,,,,
