form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00343137,11825001,,,CCM,Brian Fitzpatrick For All Of Us,,,,,,PO Box 939,,Langhorne,PA,19047,G2024,,2024-04-02,1000.00,0.00,,011,C00607416,Brian Fitzpatrick For All Of Us,H6PA08277,Fitzpatrick,Brian,,Rep.,,H,PA,01,,,,,,,,
SB23,C00343137,11825002,,,CCM,Miller-Meeks For Congress,,,,,,PO Box 33,,Ottumwa,IA,52501,P2024,,2024-04-02,500.00,0.00,,011,C00558825,Miller-Meeks For Congress,H8IA02043,Miller-Meeks,Mariannette,,Rep.,MD,H,IA,01,,,,,,,,
SB23,C00343137,11825003,,,CCM,Miller-Meeks For Congress,,,,,,PO Box 33,,Ottumwa,IA,52501,G2024,,2024-04-02,500.00,0.00,,011,C00558825,Miller-Meeks For Congress,H8IA02043,Miller-Meeks,Mariannette,,Rep.,MD,H,IA,01,,,,,,,,
SB23,C00343137,11825007,,,PAC,CHC Bold PAC,,,,,,PO Box 75375,,Washington,DC,20013,,,2024-04-02,5000.00,0.00,2024 Contribution,011,C00365536,,,,,,,,,,,,,,,,,,2024 Contribution
SB23,C00343137,11825008,,,PAC,Republican Governance Group PAC,,,,,,PO Box 11586,,Washington,DC,20008,,,2024-04-02,5000.00,0.00,2024 Contribution,011,C00433060,,,,,,,,,,,,,,,,,,2024 Contribution
SB23,C00343137,11825009,,,PAC,Elect Democratic Women,,,,,,PO Box 15096,,Washington,DC,20003,,,2024-04-02,5000.00,0.00,2024 Contribution,011,C00685297,,,,,,,,,,,,,,,,,,2024 Contribution
SB23,C00343137,11825010,,,PTY,Republican Governors Association,,,,,,"1747 Pennsylvania Ave, NW",Ste 250,Washington,DC,20006,,,2024-04-02,12500.00,0.00,2024 Dues,011,,,,,,,,,,,,,,,,,,,2024 Dues
SB23,C00343137,11825011,,,PTY,Democratic Governors Association,,,,,,"1225 Eye St, NW",Ste 1100,Washington,DC,200053418,,,2024-04-02,12500.00,0.00,2024 Dues,011,,,,,,,,,,,,,,,,,,,2024 Dues
SB23,C00343137,11825013,,,CCM,Mike Bost For Congress Committee,,,,,,PO Box 1212,,Murphysboro,IL,62966,G2024,,2024-04-02,1000.00,0.00,,011,C00546499,Mike Bost For Congress Committee,H4IL12060,Bost,Mike,,Rep.,,H,IL,12,,,,,,,,
SB23,C00343137,11825014,,,CCM,Beth Van Duyne For Congress,,,,,,PO Box 630167,,Irving,TX,75063,G2024,,2024-04-02,1000.00,0.00,,011,C00714865,Beth Van Duyne For Congress,H0TX24209,Van Duyne,Beth,,Rep.,,H,TX,24,,,,,,,,
