form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00698894,B-388388,,,ORG,Integrated Solutions Political,,,,,,4142 Adams Avenue,,San Diego,CA,92116,,,2023-07-05,600.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00698894,B-388399,B-388391,,ORG,Capitol Hill Club,,,,,,300 First Street Southeast,,Washington,DC,20003,,,2023-07-31,241.48,,Meals,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-John Dennis
SB21B,C00698894,B-388391,,,CAN,,Dennis,John,,Mr.,,1592 Union Street,#347,San Francisco,CA,94123,,,2023-07-31,2089.63,,Reimbursement: Travel and Meals,002,,,H2CA12174,Dennis,John,,Mr.,,H,CA,,,,,,,,,
SB21B,C00698894,B-388392,B-388391,,ORG,United Airlines,,,,,,77 W Wacker Drive,,Chicago,IL,606011604,,,2023-07-31,107.00,,Travel,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-John Dennis
SB21B,C00698894,B-388393,B-388391,,ORG,United Airlines,,,,,,77 W Wacker Drive,,Chicago,IL,606011604,,,2023-07-31,453.40,,Travel,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-John Dennis
SB21B,C00698894,B-388401,B-388391,,ORG,United Airlines,,,,,,77 W Wacker Drive,,Chicago,IL,606011604,,,2023-07-31,8.00,,Travel,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-John Dennis
SB21B,C00698894,B-388403,B-388391,,ORG,University Club,,,,,,1135 16th Street Northwest,,Washington,DC,20036,,,2023-07-31,957.13,,Lodging,002,,,,,,,,,,,,,,,,,,X,MEMO: Subvendor of-John Dennis
SB21B,C00698894,B-388509,,,ORG,Integrated Solutions Political,,,,,,4142 Adams Avenue,,San Diego,CA,92116,,,2023-08-03,600.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00698894,B-388404,,,ORG,The KAL Group Inc.,,,,,,9460 Tegner Road,,Hilmar,CA,95324,,,2023-08-11,263.48,,Bookkeeping,001,,,,,,,,,,,,,,,,,,,
SB21B,C00698894,B-388508,,,ORG,Integrated Solutions Political,,,,,,4142 Adams Avenue,,San Diego,CA,92116,,,2023-09-04,600.00,,Software,001,,,,,,,,,,,,,,,,,,,
