form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00864512,500071207,,,ORG,"1923 Brady Avenue, LLC",,,,,,5407 East Dr,,Halethorpe,MD,212272699,,,2024-04-25,1600.00,0.00,Rent,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500078504,,,ORG,ABC Party & Tent Rental,,,,,,6770 Oak Hall Ln,Ste 114,Columbia,MD,210454768,,,2024-05-13,1060.06,0.00,Campaign Event Equipment Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500078505,,,ORG,ABC Party & Tent Rental,,,,,,6770 Oak Hall Ln,Ste 114,Columbia,MD,210454768,,,2024-05-15,500.00,0.00,Campaign Event Equipment Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500071201,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-04-25,977.66,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500071215,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-04-28,2800.15,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500071322,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-04-29,1075.81,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500071346,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-04-30,1444.78,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500078401,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-05-01,562.36,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500078402,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-05-02,803.37,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00864512,500078404,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-05-03,528.91,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
