form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00771865,SE-S1621535,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-16,16.91,,293.99,LEADS/PHONE LISTS,004,,S,H8ME02185,GOLDEN,JARED,,,,H,02,ME,DERIDDER,PAUL,A,,,2024-05-16,X,INVOICE DID NOT CLEAR BANK BEFORE CLOSE OF BOOKS
SE,C00771865,SE-S1621537,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-16,16.91,,8315.67,LEADS/PHONE LISTS,004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-05-16,X,INVOICE DID NOT CLEAR BANK BEFORE CLOSE OF BOOKS
SE,C00771865,SE-S1621663,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-23,26.01,,411.02,LEADS/PHONE LISTS,004,,S,H8ME02185,GOLDEN,JARED,,,,H,02,ME,DERIDDER,PAUL,A,,,2024-05-23,X,INVOICE DID NOT CLEAR BANK BEFORE CLOSE OF BOOKS
SE,C00771865,SE-S1621665,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-23,26.01,,8432.70,LEADS/PHONE LISTS,004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-05-23,X,INVOICE DID NOT CLEAR BANK BEFORE CLOSE OF BOOKS
SE,C00771865,SE-S1621823,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-30,26.01,,411.02,LEADS / PHONE LISTS(ESTIMATE),004,,S,H8ME02185,GOLDEN,JARED,,,,H,02,ME,DERIDDER,PAUL,A,,,2024-05-30,X,INVOICE FOR THIS ESTIMATE WAS NOT ISSUED OR PAID BEFORE CLOSE OF BOOKS
SE,C00771865,SE-S1621825,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-30,26.01,,8432.70,LEADS / PHONE LISTS(ESTIMATE),004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-05-30,X,INVOICE FOR THIS ESTIMATE WAS NOT ISSUED OR PAID BEFORE CLOSE OF BOOKS
SE,C00771865,SE-S1608621,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-04-25,24.93,2024-05-01,8021.68,LEADS/PHONE LISTS,004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-04-25,
SE,C00771865,SE-S1608623,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2028,,2024-04-25,24.93,2024-05-01,8284.10,LEADS/PHONE LISTS,004,,S,S6IL00292,DUCKWORTH,TAMMY,,,,S,00,IL,DERIDDER,PAUL,A,,,2024-04-25,
SE,C00771865,SE-S1608511,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2028,,2024-04-18,30.74,2024-05-07,8171.92,LEADS/PHONE LISTS,004,,S,S6IL00292,DUCKWORTH,TAMMY,,,,S,00,IL,DERIDDER,PAUL,A,,,2024-04-18,
SE,C00771865,SE-S1608509,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-04-18,30.74,2024-05-07,7909.50,LEADS/PHONE LISTS,004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-04-18,
SE,C00771865,SE-S1608861,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-02,34.42,2024-05-08,154.89,LEADS/PHONE LISTS,004,,S,H8ME02185,GOLDEN,JARED,,,,H,02,ME,DERIDDER,PAUL,A,,,2024-05-02,
SE,C00771865,SE-S1608863,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-02,34.42,2024-05-08,8176.57,LEADS/PHONE LISTS,004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-05-02,
SE,C00771865,SE-S1614655,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-09,14.01,2024-05-15,217.92,LEADS/PHONE LISTS,004,,S,H8ME02185,GOLDEN,JARED,,,,H,02,ME,DERIDDER,PAUL,A,,,2024-05-09,
SE,C00771865,SE-S1614657,,,ORG,CLOUD DATA SERVICES,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-09,14.01,2024-05-15,8239.60,LEADS/PHONE LISTS,004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-05-09,
SE,C00771865,SE-S1621543,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-16,16.06,,293.99,PHONEBANK PAYROLL SERVICES,004,,S,H8ME02185,GOLDEN,JARED,,,,H,02,ME,DERIDDER,PAUL,A,,,2024-05-16,X,INVOICE DID NOT CLEAR BANK BEFORE CLOSE OF BOOKS
SE,C00771865,SE-S1621545,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR.,,HENDERSON,NV,89014,P2024,,2024-05-16,16.06,,8315.67,PHONEBANK PAYROLL SERVICES,004,,S,H6FL18097,MAST,BRIAN,,,,H,21,FL,DERIDDER,PAUL,A,,,2024-05-16,X,INVOICE DID NOT CLEAR BANK BEFORE CLOSE OF BOOKS
