form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00340075,2DD46510350C96EB27F,,,PAC,Arkansas For Leadership Political Action Committee (ARKPAC),,,,,,PO Box 1672,,Alexandria,VA,22313,O2024,Contribution,2024-05-13,1000.00,,2024 Contribution,011,C00413948,Arkansas For Leadership Political Action Committee (ARKPAC),,,,,,,,,,,,,,,,,
SB23,C00340075,F79E8C9B58C4E94EB60,,,CCM,Buddy Carter For Congress,,,,,,PO Box 10570,,Savannah,GA,31412,G2024,,2024-05-07,2500.00,,2024 General,011,C00543967,,H4GA01039,Carter,Earl,L. B.,,,H,GA,01,,,,,,,,
SB23,C00340075,9AEE9491EEDBA9CA450,,,CCM,Crawford For Congress,,,,,,PO Box 16956,,Jonesboro,AR,72403,G2024,,2024-05-13,1500.00,,2024 General,011,C00462374,,H0AR01083,Crawford,Rick,Alan,,,H,AR,01,,,,,,,,
SB23,C00340075,C7102C18174884FCEFF,,,CCM,DelBene for Congress,,,,,,PO Box 477,,Kirkland,WA,98083,P2024,,2024-05-13,2500.00,,2024 Primary,011,C00459099,,H0WA08046,DelBene,Suzan,Kay,,,H,WA,01,,,,,,,,
SB23,C00340075,1A22A309E426F50964C,,,CCM,Feenstra For Congress,,,,,,641 2nd St,,Hull,IA,51239,G2024,,2024-05-16,1000.00,,2024 General,011,C00693663,,H0IA04145,Feenstra,Randy,,,,H,IA,04,,,,,,,,
SB23,C00340075,A826BDE7412052FC27D,,,CCM,Friends Of Dave Joyce,,,,,,9856 Archer Ln,,Dublin,OH,430178914,G2024,,2024-05-07,1000.00,,2024 General,011,C00527457,,H2OH14064,Joyce,David,Patrick,,,H,OH,14,,,,,,,,
SB23,C00340075,03B40A30E261F5CEF9C,,,CCM,Garret Graves For Congress,,,,,,PO Box 64845,,Baton Rouge,LA,70896,G2024,,2024-05-07,1000.00,,2024 General,011,C00558486,,H4LA06153,Graves,Garret,Neal,,,H,LA,06,,,,,,,,
SB23,C00340075,3B0C690C3102B4C0940,,,CCM,Jake Ellzey For Congress,,,,,,791 HWY 77 N,STE-C #258,WAXAHACHIE,TX,75164,G2024,,2024-05-07,1500.00,,2024 General,011,C00770438,,H8TX06266,Ellzey,Jake,K.,,,H,TX,06,,,,,,,,
SB23,C00340075,0C93B8AF7171FD7F75D,,,CCM,Jason Smith For Congress,,,,,,PO Box 1324,,Cape Girardeau,MO,637021324,P2024,,2024-05-13,2000.00,,2024 Primary,011,C00541862,,H4MO08162,Smith,Jason,Thomas,,,H,MO,08,,,,,,,,
SB23,C00340075,F43E24CCBFDD87FC789,,,CCM,Latta For Congress,,,,,,PO Box 106,,Bowling Green,OH,434020106,G2024,,2024-05-13,2500.00,,2024 General,011,C00438697,,H8OH05036,Latta,Robert,E.,,,H,OH,05,,,,,,,,
SB23,C00340075,C37CAF0854D7F023FA7,,,CCM,Lisa Blunt Rochester For Senate,,,,,,PO Box 9767,,Wilmington,DE,19809,P2024,,2024-05-07,2500.00,,2024 Primary,011,C00843391,,S4DE00060,Blunt Rochester,Lisa,,,,S,DE,,,,,,,,,
SB23,C00340075,A48B281FC86CAA62D3A,,,CCM,Sharice For Congress,,,,,,13851 W 63rd St,NUM 303,Shawnee,KS,66216,P2024,,2024-05-07,2500.00,,2024 Primary,011,C00670034,,H8KS03155,Davids,Sharice,,,,H,KS,03,,,,,,,,
SB23,C00340075,9BE36E312DFE8900679,,,CCM,Simpson For Congress,,,,,,1487 Parkway Dr,,Blackfoot,ID,832211667,G2024,,2024-05-16,2000.00,,2024 General,011,C00331397,,H8ID02064,Simpson,Michael,Keith,,,H,ID,02,,,,,,,,
SB23,C00340075,24B980B86E83DF56599,,,CCM,Texans For Jodey Arrington,,,,,,PO Box 6687,,Lubbock,TX,794936687,G2024,,2024-05-13,1000.00,,2024 General,011,C00588657,,H6TX19099,Arrington,Jodey,Cook,,,H,TX,19,,,,,,,,
