form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00481531,SB23.2000,,,CCM,MIKE BOST FOR CONGRESS,,,,,,PO BOX 1212,,MURPHYSBORO,IL,62966,P2024,,2024-03-04,5000.00,,CONTRIBUTION,,,,H4IL12060,BOST,MICHAEL,,,,H,IL,12,  ,,,,,,,
SB23,C00481531,SB23.2005,,,CCM,DAN CRENSHAW FOR CONGRESS,,,,,,PO BOX 430965,,HOUSTON,TX,77243,P2024,,2024-03-06,-2500.00,,VOID-CONTRIBUTION,,,,H8TX02166,CRENSHAW,DANIEL,,,,H,TX,02,  ,,,,,,,VOID-ORIGINALLY ISSUED ON 6/21/2023
SB23,C00481531,SB23.2003,,,CCM,FRIENDS OF DAVID SCHWEIKERT,,,,,,PO BOX 13176,8175 EAST EVANS RD #23176,PHOENIX,AZ,85002,P2024,,2024-03-06,-1000.00,,VOID-CONTRIBUTION,,,,H4AZ06045,SCHWEIKERT,DAVID,S,,,H,AZ,06,  ,,,,,,,VOID-ORIGINALLY ISSUED ON 3/29/2023
SB23,C00481531,SB23.2004,,,CCM,FRIENDS OF DAVID SCHWEIKERT,,,,,,PO BOX 13176,8175 EAST EVANS RD #23176,PHOENIX,AZ,85002,P2024,,2024-03-06,-1000.00,,VOID-CONTRIBUTION,,,,H4AZ06045,SCHWEIKERT,DAVID,S,,,H,AZ,06,  ,,,,,,,VOID-ORIGINALLY ISSUED ON 6/12/2023
SB23,C00481531,SB23.2002,,,CCM,MIKE GARCIA FOR CONGRESS,,,,,,23890 COPPER HILL DR,#365,VALENCIA,CA,91354,P2024,,2024-03-06,-2000.00,,VOID-CONTRIBUTION,,,,H0CA25105,GARCIA,MICHAEL,,,,H,CA,27,  ,,,,,,,VOID-ORIGINALLY ISSUED ON 3/29/2023
SB23,C00481531,SB23.2001,,,CCM,MONICA FOR CONGRESS,,,,,,1317 W FRONTAGE RD,STE A,ALAMO,TX,78516,P2024,,2024-03-06,-1000.00,,VOID-CONTRIBUTION,,,,H0TX15124,DE LA CRUZ,MONICA,,,,H,TX,15,  ,,,,,,,VOID-ORIGINALLY ISSUED ON 3/29/2023
SB23,C00481531,SB23.2008,,,CCM,CRAIG GOLDMAN FOR CONGRESS,,,,,,PO BOX 100039,,FORT WORTH,TX,76185,R2024,,2024-03-10,5000.00,,CONTRIBUTION,,,,H4TX12065,GOLDMAN,CRAIG,,,,H,TX,12,  ,,,,,,,
SB23,C00481531,SB23.2007,,,CCM,ELECTGABEEVANS.COM,,,,,,PO BOX 350608,,WESTMINSTER,CO,80035,P2024,,2024-03-10,2500.00,,CONTRIBUTION,,,,H4CO08034,EVANS,TIMOTHY,GABRIEL JOSEPH,,,H,CO,08,  ,,,,,,,
SB23,C00481531,SB23.2006,,,PAC,TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,,,,,,3425 BANNERMAN RD,SUITE 105-129,TALLAHASSEE,FL,32312,,,2024-03-10,5000.00,,CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB23,C00481531,SB23.2010,,,CCM,KEN CALVERT FOR CONGRESS COMMITTEE,,,,,,PO BOX 2438,,CORONA,CA,92878,G2024,,2024-03-25,5000.00,,CONTRIBUTION,,,,H2CA37023,CALVERT,KEN,,,,H,CA,41,  ,,,,,,,
SB23,C00481531,SB23.2009,,,CCM,MVL PAC,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,,,2024-03-25,1000.00,,CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB23,C00481531,SB23.2011,,,CCM,JUDGE JOE MCGRAW FOR CONGRESS,,,,,,PO BOX 1451,,ROCKFORD,IL,61105,P2024,,2024-03-27,2000.00,,CONTRIBUTION,,,,H4IL17101,MCGRAW,JOE,,,,H,IL,17,  ,,,,,,,
SB23,C00481531,SB23.2012,,,CCM,ROGERS FOR SENATE,,,,,,PO BOX 132,,SAINT JOSEPH,MI,49085,P2024,,2024-03-29,-5000.00,,VOID-CONTRIBUTION,,,,S4MI00595,ROGERS,MICHAEL,J,,,S,MI,00,  ,,,,,,,VOID-ORIGINALLY ISSUED ON 2/26/2024
SB23,C00481531,SB23.2013,,,CCM,ROGERS FOR SENATE,,,,,,PO BOX 132,,SAINT JOSEPH,MI,49085,P2024,,2024-03-29,2500.00,,CONTRIBUTION,,,,S4MI00595,ROGERS,MICHAEL,J,,,S,MI,00,  ,,,,,,,
SB23,C00481531,SB23.2014,,,CCM,ROGERS FOR SENATE,,,,,,PO BOX 132,,SAINT JOSEPH,MI,49085,P2024,,2024-03-29,2500.00,,CONTRIBUTION,,,,S4MI00595,ROGERS,MICHAEL,J,,,S,MI,00,  ,,,,,,,
