form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00040568,B875104,,,CCM,Friends of Greg McCortney,,,,,,1816 E. 15th Street,,Ada,OK,74820,P2024,,2024-09-25,-2500.00,,P-2024 State Senate 13 OK,011,,,,McCortney,Greg,,,,S,OK,13,,,,,,,,Voided: Original check dated 06/11/24
SB29,C00040568,B882938,,,CCM,Carol Alvarado Campaign,,,,,,P.O. Box 230842,,Houston,TX,77223,G2024,,2024-09-12,1500.00,,G-2024 State Senate 06 TX,011,,,,Alvarado,Carol,,,,S,TX,06,,,,,,,,
SB29,C00040568,B882942,,,CCM,Cesar Blanco for State Senate,,,,,,PO Box 929,,El Paso,TX,79946,G2024,,2024-09-12,1500.00,,G-2024 State Senate 29 TX,011,,,,Blanco,Cesar,,,,S,TX,29,,,,,,,,
SB29,C00040568,B882941,,,CCM,Friends of Brandon Creighton,,,,,,2829 Technology Forest,,The Woodland,TX,77381,P2026,,2024-09-12,1500.00,,P-2026 State Senate 04 TX,011,,,,Creighton,Brandon,,,,S,TX,04,,,,,,,,
SB29,C00040568,B882946,,,CCM,Stan Gerdes Campaign,,,,,,606 Gresham Street,,Smithville,TX,78957,G2024,,2024-09-12,1000.00,,G-2024 State House 17 TX,011,,,,Gerdes,Stanley,A,,,H,TX,17,,,,,,,,
SB29,C00040568,B882949,,,CCM,Cole Hefner Campaign,,,,,,PO Box 167,,Mount Pleasant,TX,75456,G2024,,2024-09-12,1000.00,,G-2024 State House 5 TX,011,,,,Hefner,Cole,,,,H,TX,05,,,,,,,,
SB29,C00040568,B882952,,,CCM,Ana Hernandez for State Rep Dist 143,,,,,,P.O. Box 15538,,Houston,TX,77220,G2024,,2024-09-12,1000.00,,G-2024 State House 143 TX,011,,,,Hernandez,Ana,E,,,H,TX,14,,,,,,,,
SB29,C00040568,B882939,,,CCM,Joan Huffman Campaign,,,,,,3733-1 Westheimer #40,,Houston,TX,77027,G2024,,2024-09-12,1500.00,,G-2024 State Senate 17 TX,011,,,,Huffman,Joan,,,,S,TX,17,,,,,,,,
SB29,C00040568,B882943,,,CCM,Bryan Hughes Campaign,,,,,,P.O. Box 450,,Minneola,TX,75773,P2026,,2024-09-12,1500.00,,P-2026 State Senate 01 TX,011,,,,Hughes,Bryan,,,,S,TX,01,,,,,,,,
SB29,C00040568,B882955,,,CCM,Lacey Hull for State Rerpresentative,,,,,,PO Box 19231,,Houston,TX,77724,G2024,,2024-09-12,1000.00,,G-2024 State House 138 TX,011,,,,Hull,Lacey,,,,H,TX,13,,,,,,,,
SB29,C00040568,B882948,,,CCM,Todd Hunter Campaign,,,,,,445 Cape Henry,,Corpus Christi,TX,78412,G2024,,2024-09-12,1000.00,,G-2024 State House 32 TX,011,,,,Hunter,Todd,A,,,H,TX,32,,,,,,,,
SB29,C00040568,B882954,,,CCM,Lois W. Kolkhorst for Texas Senate,,,,,,PO Box 2546,,Brenham,TX,77834,P2026,,2024-09-12,1500.00,,P-2026 State Senate 18 TX,011,,,,Kolkhorst,Lois,,,,S,TX,18,,,,,,,,
SB29,C00040568,B882947,,,CCM,Eddie Morales for State Representative,,,,,,352 Hillcrest Blvd.,,Eagle Pass,TX,78852,G2024,,2024-09-12,1000.00,,G-2024 State House 74 TX,011,,,,Morales,Eddie,,,,H,TX,74,,,,,,,,
SB29,C00040568,B882951,,,CCM,Jared Patterson Campaign for State Representative,,,,,,4412 Sapphire Drive,,Frisco,TX,75034,G2024,,2024-09-12,1000.00,,G-2024 State House 106 TX,011,,,,Patterson,Jared,,,,H,TX,10,,,,,,,,
SB29,C00040568,B882950,,,CCM,Richard Raymond Campaign,,,,,,P.O. BOX 450349,,Laredo,TX,78045,G2024,,2024-09-12,1000.00,,G-2024 State House 42 TX,011,,,,Raymond,Richard,,,,H,TX,42,,,,,,,,
SB29,C00040568,B882953,,,CCM,Walle for State Rep Dist 140,,,,,,4101 Washington Ave,,Houston,TX,77007,G2024,,2024-09-12,1000.00,,G-2024 State House 140 TX,011,,,,Walle,Armando,,,,H,TX,14,,,,,,,,
SB29,C00040568,B882945,,,CCM,Senator Judith Zaffirini Campaign,,,,,,PO Box 627,,Laredo,TX,78042,P2026,,2024-09-12,1500.00,,P-2026 State Senate 21 TX,011,,,,Zaffirini,Judith,,,,S,TX,21,,,,,,,,
SB29,C00040568,B883664,,,PAC,Texas Oil and Gas PAC,,,,,,314 W 13th,,Austin,TX,78701,O2024,Not Applicable,2024-09-13,5000.00,,State PAC,011,,,,,,,,,,, ,,,,,,,,
