form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00376376,B863456,,,PAC,Insurance Political Action Committee,,,,,,115 W. Washington St Ste 995 South,,Indianapolis,IN,46204,O2024,Not Applicable,2024-01-04,15000.00,,State PAC,011,,,,,,,,,,, ,,,,,,,,
SB29,C00376376,B863465,,,CCM,Steve for Texas,,,,,,14546 Brook Hollow Blvd Box #511,,San Antonio,TX,78232,P2024,,2024-01-04,1000.00,,P-2024 State House 121 TX,011,,,,Allison,Steve,,,,H,TX,12,,,,,,,,
SB29,C00376376,B863468,,,CCM,Ernest Bailes Campaign,,,,,,1000 Bailes Dairy Road,,Sheperd,TX,77371,P2024,,2024-01-04,1000.00,,P-2024 State House 18 TX,011,,,,Bailes,Ernest,J,,IV,H,TX,18,,,,,,,,
SB29,C00376376,B863464,,,CCM,Dustin Burrows Campaign,,,,,,PO Box 2569,,Lubbock,TX,79408,P2024,,2024-01-04,2500.00,,P-2024 State House 83 TX,011,,,,Burrows,Dustin,,,,H,TX,83,,,,,,,,
SB29,C00376376,B863463,,,CCM,Angie Chen Button Campaign,,,,,,PO Box 832748,,Richardson,TX,75083,P2024,,2024-01-04,1000.00,,P-2024 State House 112 TX,011,,,,Button,Angie,,,,H,TX,11,,,,,,,,
SB29,C00376376,B863474,,,CCM,Frazier For Texas,,,,,,4100 Eldorado Pkwy - Ste 100 PMB 2,,McKinney,TX,75070,P2024,,2024-01-04,1000.00,,P-2024 State House 61 TX,011,,,,Frazier,Frederick,,,,H,TX,61,,,,,,,,
SB29,C00376376,B863470,,,CCM,Cody Harris Campaign,,,,,,1007 N Mallard Street,,Palestine,TX,75801,P2024,,2024-01-04,1000.00,,P-2024 State House 08 TX,011,,,,Harris,Cody,,,,H,TX,08,,,,,,,,
SB29,C00376376,B863461,,,CCM,Justin Holland for Texas,,,,,,3021 Ridge Road Suite A Box 79,,Rockwall,TX,75032,P2024,,2024-01-04,1000.00,,P-2024 State House 33 TX,011,,,,Holland,Justin,,,,H,TX,33,,,,,,,,
SB29,C00376376,B863473,,,CCM,Lacey Hull for State Rerpresentative,,,,,,PO Box 19231,,Houston,TX,77724,P2024,,2024-01-04,1000.00,,P-2024 State House 138 TX,011,,,,Hull,Lacey,,,,H,TX,13,,,,,,,,
SB29,C00376376,B863467,,,CCM,John Kuempel Campaign,,,,,,PO Box 177,,Seguin,TX,78156,P2024,,2024-01-04,1000.00,,P-2024 State House 44 TX,011,,,,Kuempel,John,,,,H,TX,44,,,,,,,,
SB29,C00376376,B863475,,,CCM,Texans for Stan,,,,,,P.O. Box 3752,,Abilene,TX,79604,P2024,,2024-01-04,1000.00,,P-2024 State House 71 TX,011,,,,Lambert,Standard,,,,H,TX,71,,,,,,,,
SB29,C00376376,B863458,,,CCM,Jeff Leach for State House,,,,,,P.O. Box 866186,,Plano,TX,75086,P2024,,2024-01-04,2500.00,,P-2024 State House 67 TX,011,,,,Leach,Jeff,,,,H,TX,67,,,,,,,,
SB29,C00376376,B863471,,,CCM,Tom Oliverson Campaign,,,,,,1 East Greenway Plaza #225,,Houston,TX,77046,P2024,,2024-01-04,2500.00,,P-2024 State House 130 TX,011,,,,Oliverson,Tom,,,,H,TX,13,,,,,,,,
SB29,C00376376,B863472,,,CCM,Dennis Paul Campaign,,,,,,626 1/2 Barringer Lane Ste. A,,Webster,TX,77598,P2024,,2024-01-04,1000.00,,P-2024 State House 129 TX,011,,,,Paul,Dennis,,,,H,TX,12,,,,,,,,
SB29,C00376376,B863457,,,CCM,Glenn Rogers Campaign,,,,,,PO Box 11,,Graford,TX,76449,P2024,,2024-01-04,1000.00,,P-2024 State House 60 TX,011,,,,Rogers,Glenn,,,,H,TX,60,,,,,,,,
SB29,C00376376,B863466,,,CCM,Hugh Shine Campaign,,,,,,P.O. Box 793,,Temple,TX,76503,P2024,,2024-01-04,1000.00,,P-2024 State House 55 TX,011,,,,Shine,Hugh,D,,,H,TX,55,,,,,,,,
SB29,C00376376,B863469,,,CCM,Reggie Smith Campaign,,,,,,300 N Travis Street,,Sherman,TX,75090,P2024,,2024-01-04,1000.00,,P-2024 State House 62 TX,011,,,,Smith,Reginald,,,,H,TX,62,,,,,,,,
SB29,C00376376,B863459,,,CCM,Lynn Stucky Campaign,,,,,,PO Box 464,,Denton,TX,76202,P2024,,2024-01-04,1000.00,,P-2024 State House 64 TX,011,,,,Stucky,Lynn,,,,H,TX,64,,,,,,,,
SB29,C00376376,B863460,,,CCM,Kronda Thimesch Campaign,,,,,,1301 Justin Road - Suite 201-310,,Lewisville,TX,75077,P2024,,2024-01-04,1000.00,,P-2024 State House 65 TX,011,,,,Thimesch,Kronda,,,,H,TX,65,,,,,,,,
SB29,C00376376,B863462,,,CCM,Gary VanDeaver Campaign,,,,,,PO Box 866,,New Boston,TX,75570,P2024,,2024-01-04,1000.00,,P-2024 State House 1 TX,011,,,,VanDeaver,Gary,,,,H,TX,01,,,,,,,,
