form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00544387,SB21B.8801,,,ORG,Amy N Haab dba Amy's Bookkeeping Edge LLC,,,,,,3277 Beneva Rd,Unit 102,Sarasota,FL,34232,,,2024-10-09,100.00,,Bookkeeping Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8791,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-04,50.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8796,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-08,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8797,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-09,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8798,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-10,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8799,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-15,50.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8800,,,ORG,Chain Bridge Bank,,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2024-10-16,25.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8805,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2024-10-06,-300000.00,,Digital advertising (IE paid 8/23 & 9/10 see Sch E),004,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8807,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2024-10-06,-550000.00,,"Digital advertising (IE paid 9/16, 9/19, 9/26 see Sch E)",004,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8808,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2024-10-06,-500000.00,,Digital advertising (IE paid 8/28 and 9/4 see Sch E),004,,,,,,,,,,,,,,,,,,,
SB21B,C00544387,SB21B.8809,,,ORG,Logan Circle Group,,,,,,"916 G St. NW, #503",,Washington,DC,20001,,,2024-10-06,-250000.00,,Digital advertising (IE installment paid 9/5 see Sch E),004,,,,,,,,,,,,,,,,,,,
