form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00854059,SB21B.4439,,,ORG,360 CHICAGO,,,,,,875 N Michigan Ave,,Chicago,IL,60611,,,2024-08-07,16250.00,,Facility Rental,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4418,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-07-28,335.75,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4419,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-07-31,39.50,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4420,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-08-11,395.00,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4421,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-08-25,493.75,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4422,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-09-15,987.50,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4425,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-09-22,395.00,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4426,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-09-29,592.50,,Service Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4427,,,ORG,Amalgamated Bank,,,,,,275 Seventh Ave,,New York,NY,10001,,,2024-07-26,12.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4428,,,ORG,Amalgamated Bank,,,,,,275 Seventh Ave,,New York,NY,10001,,,2024-07-26,105.46,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4429,,,ORG,Amalgamated Bank,,,,,,275 Seventh Ave,,New York,NY,10001,,,2024-08-29,12.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4430,,,ORG,Amalgamated Bank,,,,,,275 Seventh Ave,,New York,NY,10001,,,2024-08-29,30.21,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4431,,,ORG,Amalgamated Bank,,,,,,275 Seventh Ave,,New York,NY,10001,,,2024-09-26,12.00,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4432,,,ORG,Amalgamated Bank,,,,,,275 Seventh Ave,,New York,NY,10001,,,2024-09-26,71.25,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4440,,,ORG,Black Bear Combo,,,,,,2331 N Kedzie Blvd,#1W,Chicago,IL,60647,,,2024-08-20,1000.00,,Event Entertainment,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4442,,,ORG,Black Bear Combo,,,,,,2331 N Kedzie Blvd,#1W,Chicago,IL,60647,,,2024-08-29,1042.00,,Event Entertainment,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4453,,,ORG,Buona Catering LLC,,,,,,6801 W. Roosevelt Road,,Berwyn,IL,60402,,,2024-08-14,4727.00,,Event Catering,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4455,,,ORG,Buona Catering LLC,,,,,,6801 W. Roosevelt Road,,Berwyn,IL,60402,,,2024-08-20,15053.04,,Event Catering,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4456,,,ORG,Buona Catering LLC,,,,,,6801 W. Roosevelt Road,,Berwyn,IL,60402,,,2024-09-05,13424.61,,Event Catering,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4457,,,ORG,Ellevation Projects LLC,,,,,,20 Terry Dr,Unit 14,Newtown,PA,18940,,,2024-08-20,5000.00,,Event Coordination Services,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4461,,,ORG,Genova Burns LLC,,,,,,494 Broad Street,,Newark,NJ,07102,,,2024-08-15,11277.25,,Legal Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4462,,,ORG,Mode Events,,,,,,1980 Festival Plaza Dr.,Ste 300,Las Vegas,NV,89135,,,2024-08-17,1525.00,,Event Supplies,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4464,,,ORG,Mode Events,,,,,,1980 Festival Plaza Dr.,Ste 300,Las Vegas,NV,89135,,,2024-08-17,1995.00,,Event Supplies,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4433,,,ORG,"My Warchest, Inc.",,,,,,4200 Wisconsin Ave NW,#106-206,Washington,DC,20016,,,2024-08-16,500.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4435,,,ORG,"My Warchest, Inc.",,,,,,4200 Wisconsin Ave NW,#106-206,Washington,DC,20016,,,2024-09-18,500.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4467,,,ORG,Page and Peony Designs,,,,,,1922 S. Wabash Ave.,Unit 2,Chicago,IL,60616,,,2024-08-20,919.50,,Event Supplies,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4469,,,ORG,Page and Peony Designs,,,,,,1922 S. Wabash Ave.,Unit 2,Chicago,IL,60616,,,2024-09-05,919.50,,Event Supplies,007,,,,,,,,,,,,,,,,,,,
SB21B,C00854059,SB21B.4465,,,ORG,Royal Printing Service,,,,,,441 51st Street,,West New York,NJ,07093,,,2024-08-29,735.71,,Event Signage,007,,,,,,,,,,,,,,,,,,,
