form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00041590,SB21B.7284,,,ORG,Advanced Print Management,,,,,,3450 S Broadmont Dr #114,,Tucson,AZ,85713,,,2023-09-19,1853.24,,printing and mailing fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7281,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2023-07-03,30.00,,paypal monthly fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7420,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2023-08-02,30.00,,paypal monthly fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7280,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2023-09-05,30.00,,paypal monthly fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7421,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2023-10-02,30.00,,paypal monthly fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7422,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2023-11-02,30.00,,paypal monthly fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7423,,,ORG,PayPal,,,,,,2211 N. First Street,,San Jose,CA,95131,,,2023-12-01,30.00,,paypal monthly fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7427,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-09-28,31.05,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7428,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-10-03,17.85,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7429,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-10-05,24.20,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7430,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-10-12,27.46,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7431,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-10-18,41.40,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7432,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-10-23,3.70,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7433,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-11-02,17.30,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7434,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-11-03,17.30,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7435,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-11-15,14.80,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7439,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-12-19,8.80,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7440,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-12-20,7.55,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7441,,,ORG,Stripe,,,,,,510 Townsend St,,San Francisco,CA,94103,,,2023-12-31,3.20,,processing fee,003,,,,,,,,,,,,,,,,,,,
SB21B,C00041590,SB21B.7283,,,ORG,US Postmaster,,,,,,1501 S Cherrybell Stra,,Tucson,AZ,85726,,,2023-09-19,1052.24,,postage for mailing to members,003,,,,,,,,,,,,,,,,,,,
