form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00724203,500198233,,,ORG,A Line Answers,,,,,,1140 US Highway 287,,Broomfield,CO,800207080,,,2024-11-01,9270.00,0.00,Research,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500193157,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-17,25.76,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500194281,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-20,69.85,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500195213,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-27,254.22,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500196165,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-01,50.69,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500196301,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-03,2.52,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500196303,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-05,2.11,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500196675,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-10,4.55,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500197779,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-17,8.99,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500197853,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-11-24,3.81,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198236,,,ORG,Armany Enterprise,,,,,,5245 Edmond St,Apt 131,Las Vegas,NV,891180315,,,2024-11-04,2250.00,0.00,Event Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198257,,,ORG,Artkore LLC,,,,,,6035 Harrison Dr,,Las Vegas,NV,891202469,,,2024-11-12,179.00,0.00,Printing,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198191,,,ORG,BSP Research,,,,,,5803 Lubao Ave,,Woodland Hills,CA,913675610,,,2024-10-30,12500.00,0.00,Polling Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198262,,,ORG,BSP Research,,,,,,5803 Lubao Ave,,Woodland Hills,CA,913675610,,,2024-11-19,12500.00,0.00,Polling Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198170,,,ORG,C Plus K LLC,,,,,,1640 Rhode Island Ave NW,Ste 600,Washington,DC,200363229,,,2024-10-22,5180.00,0.00,Research,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500197831,,,ORG,Casa TIaquepaque,,,,,,4800 E Bonanza Rd,Ste 9,Las Vegas,NV,891103456,,,2024-10-17,2628.60,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500197876,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-21,18000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500197880,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-22,1500.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198169,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-22,6000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198173,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-23,9000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198183,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-28,7500.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198184,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-28,600.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198185,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-28,6000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198186,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-28,15000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198187,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-29,8500.00,0.00,Strategic Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198190,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-10-30,7500.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198231,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-11-01,19500.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198232,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-11-01,1500.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198235,,,ORG,"Civix Strategy Group, LLC",,,,,,114 N Main St,Ste 201,Concord,NH,033014962,,,2024-11-01,3000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198189,,,ORG,"CSG, LLC",,,,,,114 N Main St,Ste 203,Concord,NH,033014953,,,2024-10-29,50072.35,0.00,Staff Time & Management Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198248,,,ORG,Darby O'Neil,,,,,,114 N Main St,Ste 203,Concord,NH,033014953,,,2024-11-04,1027.43,0.00,"Reimbursement, See Below",,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198253,500198248,SB21B,ORG,Downtown Grand Hotel,,,,,,206 N 3rd St,,Las Vegas,NV,891012931,,,2024-11-04,605.68,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00724203,500198252,500198248,SB21B,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2024-11-04,50.00,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00724203,500198259,,,ORG,"Dewey Square Group, LLC",,,,,,1801 K St NW,Ste 900,Washington,DC,200061301,,,2024-11-12,14500.00,0.00,Communications Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198175,,,ORG,Downtown Grand Hotel,,,,,,206 N 3rd St,,Las Vegas,NV,891012931,,,2024-10-23,106.22,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00724203,500198203,,,ORG,Elizabeth Medina,,,,,,7770 Hampton Cove Ln,,Las Vegas,NV,891133249,,,2024-10-31,500.00,0.00,Audio/Visual Services,,,,,,,,,,,,,,,,,,,,
