form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00489799,500688089,,,PAC,MI Planned Parenthood Votes,,,,,,115 W Allegan St,Ste 500,Lansing,MI,489331759,,,2024-09-27,270000.00,0.00,Contribution,,C00568931,MI Planned Parenthood Votes,,,,,,,,,,,,,,,,,
SB23,C00489799,500683972,,,PAC,Nevada Advocates for Planned Parenthood Affiliates PAC (NAPPA PAC),,,,,,555 Capitol Mall,Ste 400,Sacramento,CA,958144503,,,2024-09-17,220000.00,0.00,Contribution,,C00685289,Nevada Advocates for Planned Parenthood Affiliates PAC (NAPPA PAC),,,,,,,,,,,,,,,,,
SB23,C00489799,500683983,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-20,106.77,0.00,In-Kind for Research,,C00687491,Planned Parenthood Advocacy Project Los Angeles County Action Fund,,,,,,,,,,,,,,,,,
SB23,C00489799,500683984,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-20,106.77,0.00,In-Kind for Research,,C00684530,Planned Parenthood of Minnesota Political Action Fund,,,,,,,,,,,,,,,,,
SB23,C00489799,500683985,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-20,106.77,0.00,In-Kind for Research,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500683986,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-20,106.77,0.00,In-Kind for Research,,C00887182,Planned Parenthood Votes North Carolina,,,,,,,,,,,,,,,,,
SB23,C00489799,500683977,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,1031.60,0.00,In-Kind for Staff Time,,C00685289,Nevada Advocates for Planned Parenthood Affiliates PAC (NAPPA PAC),,,,,,,,,,,,,,,,,
SB23,C00489799,500683978,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,1294.63,0.00,In-Kind for Non-Federal Staff Time,,C00685289,Nevada Advocates for Planned Parenthood Affiliates PAC (NAPPA PAC),,,,,,,,,,,,,,,,,
SB23,C00489799,500683987,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,729.04,0.00,In-Kind for Staff Time,,C00887182,Planned Parenthood Votes North Carolina,,,,,,,,,,,,,,,,,
SB23,C00489799,500683988,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,1745.12,0.00,In-Kind for Non-Federal Staff Time,,C00887182,Planned Parenthood Votes North Carolina,,,,,,,,,,,,,,,,,
SB23,C00489799,500683989,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,3028.89,0.00,In-Kind for Non-Federal Staff Time,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500683990,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,1524.80,0.00,In-Kind for Staff Time,,C00663724,Planned Parenthood Votes Ohio,,,,,,,,,,,,,,,,,
SB23,C00489799,500683991,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,2056.49,0.00,In-Kind for Staff Time,,C00684530,Planned Parenthood of Minnesota Political Action Fund,,,,,,,,,,,,,,,,,
SB23,C00489799,500683992,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-09-30,1684.42,0.00,In-Kind for Staff Time,,C00687491,Planned Parenthood Advocacy Project Los Angeles County Action Fund,,,,,,,,,,,,,,,,,
SB23,C00489799,500683971,,,PAC,Planned Parenthood Affiliates of California Votes PAC,,,,,,555 Capitol Mall,Ste 400,Sacramento,CA,958144503,,,2024-09-17,500000.00,0.00,Contribution,,C00556860,Planned Parenthood Affiliates of California Votes PAC,,,,,,,,,,,,,,,,,
SB23,C00489799,500683969,,,PAC,Planned Parenthood of Minnesota Political Action Fund,,,,,,671 Vandalia St,,Saint Paul,MN,551141312,,,2024-09-06,500000.00,0.00,Contribution,,C00684530,Planned Parenthood of Minnesota Political Action Fund,,,,,,,,,,,,,,,,,
