form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00433680,500328314,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2023-10-23,8.23,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500330088,,,ORG,"Campaign Compliance, Inc.",,,,,,946 Bandmann Trl,,Missoula,MT,598028834,,,2023-10-24,2000.63,0.00,Compliance consultant,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500330089,,,ORG,First Interstate Bank,,,,,,1800 6Th Ave N,,Billings,MT,591011407,,,2023-10-16,0.48,0.00,Bank fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500330079,,,ORG,Mastercard,,,,,,PO Box 31615,,Billings,MT,591071615,,,2023-10-04,509.49,0.00,Credit card payment(vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500330080,500330079,SB21B,ORG,Staples,,,,,,2501 Brooks St,Ste 3,Missoula,MT,598017801,,,2023-10-04,185.85,0.00,Office supplies,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500330081,500330079,SB21B,ORG,Staples,,,,,,2501 Brooks St,Ste 3,Missoula,MT,598017801,,,2023-10-04,43.03,0.00,Office supplies,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500330082,500330079,SB21B,ORG,Staples,,,,,,2501 Brooks St,Ste 3,Missoula,MT,598017801,,,2023-10-04,123.64,0.00,Office supplies,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500330083,500330079,SB21B,ORG,Staples,,,,,,2501 Brooks St,Ste 3,Missoula,MT,598017801,,,2023-10-04,52.99,0.00,Office supplies,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500330085,500330079,SB21B,ORG,Staples,,,,,,2501 Brooks St,Ste 3,Missoula,MT,598017801,,,2023-10-04,32.11,0.00,Office supplies,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500330086,,,ORG,Mastercard,,,,,,PO Box 31615,,Billings,MT,591071615,,,2023-10-04,124.50,0.00,Credit card payment(vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500330087,500330086,SB21B,ORG,Bistro Cacao,,,,,,320 Massachusetts Ave NE,,Washington,DC,200025702,,,2023-10-04,124.50,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,X,*
