form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00858126,500077852,,,ORG,4Degrees Inc.,,,,,,8980 W Tennessee Ave,,Lakewood,CO,802264168,,,2024-06-21,12223.05,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500068388,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-04-14,1.98,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500068389,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-04-21,0.99,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500068390,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-04-28,0.99,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500076714,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-05-19,515.74,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500076715,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-05-26,529.35,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500076716,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-05-31,80.97,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500076717,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-06-02,2.62,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500076718,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-06-09,470.29,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500077858,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-06-16,170.67,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500077860,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-06-23,168.87,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500077861,,,ORG,ActBlue Technical Services Inc.,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-06-30,231.75,0.00,Credit Card Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500076711,,,ORG,AL Media LLC,,,,,,222 W Ontario St,Ste 600,Chicago,IL,606543655,,,2024-05-20,15000.00,0.00,Fundraising Communications,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500076713,,,ORG,Amare Public Affairs,,,,,,218 E Bearss Ave,# 405,Tampa,FL,336131625,,,2024-05-20,9000.00,0.00,General Consultant Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500077862,,,ORG,EveryAction Inc.,,,,,,655 15Th St NW,Ste 650,Washington,DC,200055738,,,2024-06-24,1200.00,0.00,Software Rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500077857,,,IND,,Jenkins,Jennifer,,,,301 Cinnamon Dr,,Satellite Beach,FL,329373122,,,2024-06-25,540.04,0.00,Reimbursement -- See Below If Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00858126,500077854,500077857,SB21B,ORG,70 Park Avenue,,,,,,70 Park Ave,,New York,NY,100162504,,,2024-06-25,336.76,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
