form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00630012,500110706,,,ORG,Amalgamated Bank,,,,,,275 7Th Ave,,New York,NY,100016708,,,2024-01-26,16.00,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110707,,,ORG,Amalgamated Bank,,,,,,275 7Th Ave,,New York,NY,100016708,,,2024-01-26,21.26,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110708,,,ORG,Amalgamated Bank,,,,,,275 7Th Ave,,New York,NY,100016708,,,2024-01-26,20.00,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110709,,,ORG,Amalgamated Bank,,,,,,275 7Th Ave,,New York,NY,100016708,,,2024-01-26,20.00,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110712,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-01-05,2.26,0.00,Processing Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110713,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-01-05,21.83,0.00,Processing Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110710,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-01-25,23.12,0.00,Card Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110711,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-01-25,125.00,0.00,Card Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110714,,,ORG,Blue Revolution LLC,,,,,,43 Kingston St,# 1,Somerville,MA,021442722,,,2024-01-22,73.73,0.00,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
SB21B,C00630012,500110715,,,ORG,Blue Revolution LLC,,,,,,43 Kingston St,# 1,Somerville,MA,021442722,,,2024-01-22,0.50,0.00,Fundraising Consulting,003,,,,,,,,,,,,,,,,,,,
