form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00169821,B879837,,,CCM,Elect Katie Hobbs,,,,,,530 E McDowell Rd Box 107-407,,Phoenix,AZ,85004,O2026,Election Cycle,2024-08-02,1500.00,,O-2026 Governor  AZ,011,,,,Hobbs,Katie,,,,,AZ, ,,,,,,,,
SB29,C00169821,B879956,,,CCM,Bousselot for Iowa,,,,,,4003 SW 4Th St,,Ankeny,IA,50023,P2026,,2024-08-06,250.00,,P-2026 State Senate 21 IA,011,,,,Bousselot,Michael,,,,S,IA,21,,,,,,,,
SB29,C00169821,B879954,,,CCM,Dawn Driscoll for State Senate,,,,,,2405 K Ave,,Williamsburg,IA,52361,G2024,,2024-08-06,250.00,,G-2024 State Senate 46 IA,011,,,,Driscoll,Dawn,,,,S,IA,46,,,,,,,,
SB29,C00169821,B879963,,,CCM,Austin Harris for Iowa,,,,,,29374 570th St,,Moulton,IA,52572,G2024,,2024-08-06,250.00,,G-2024 State House 26 IA,011,,,,Harris,Austin,,,,H,IA,26,,,,,,,,
SB29,C00169821,B879964,,,CCM,Hora for House,,,,,,2509 200th St,,Washington,IA,52353,G2024,,2024-08-06,250.00,,G-2024 State House 92 IA,011,,,,Hora,Heather,,,,H,IA,92,,,,,,,,
SB29,C00169821,B879962,,,CCM,Joshua Meggers for Iowa House,,,,,,801 7th Street,,Grundy Center,IA,50638,G2024,,2024-08-06,250.00,,G-2024 State House 54 IA,011,,,,Meggers,Joshua,,,,H,IA,54,,,,,,,,
SB29,C00169821,B879955,,,CCM,Rozenboom for Senate,,,,,,2200 Oxford Ave.,,Oskaloosa,IA,52577,G2024,,2024-08-06,250.00,,G-2024 State Senate 40 IA,011,,,,Rozenboom,Kenneth,,,,S,IA,40,,,,,,,,
SB29,C00169821,B879960,,,CCM,Citizens for Sexton,,,,,,2202 Ogden Avenue,,Rockwell City,IA,50579,G2024,,2024-08-06,250.00,,G-2024 State House 7 IA,011,,,,Sexton,Mike,,,,H,IA,07,,,,,,,,
SB29,C00169821,B879957,,,CCM,Tom Shipley for Iowa,,,,,,2425 Birch Avenue,,Nodaway,IA,50857,P2026,,2024-08-06,250.00,,P-2026 State Senate 9 IA,011,,,,Shipley,Tom,,,,S,IA,09,,,,,,,,
SB29,C00169821,B879958,,,CCM,Sweeney for Senate,,,,,,19799 Hwy D20,,Iowa Falls,IA,50126,P2026,,2024-08-06,250.00,,P-2026 State Senate 27 IA,011,,,,Sweeney,Annette,,,,S,IA,27,,,,,,,,
SB29,C00169821,B879961,,,CCM,Wulf For Iowa,,,,,,PO Box 161,,Hudson IA 50643,IA,50643,G2024,,2024-08-06,250.00,,G-2024 State House 76 IA,011,,,,Wulf,Derek,,,,H,IA,76,,,,,,,,
SB29,C00169821,B879959,,,CCM,Dan Zumbach for Senate,,,,,,2618 140th Avenue,,Ryan,IA,52330,G2024,,2024-08-06,250.00,,G-2024 State Senate 34 IA,011,,,,Zumbach,Daniel,,,,S,IA,34,,,,,,,,
SB29,C00169821,B878957,,,CCM,Daniels for Senate Committee,,,,,,2191 Kyle Road,,Bartelsville,OK,74006,G2024,,2024-07-23,1000.00,,G-2024 State Senate 29 OK,011,,,,Daniels,Julie,,,,S,OK,29,,,,,,,,
SB29,C00169821,B878947,,,CCM,Vote Dell Kerbs 2024,,,,,,305 E. Federal Street,,Shawnee,OK,74804,G2024,,2024-07-23,2000.00,,G-2024 State House 26 OK,011,,,,Kerbs,Dell,,,,H,OK,26,,,,,,,,
SB29,C00169821,B878951,,,CCM,Friends of John Pfeiffer,,,,,,5402 West State Hwy 51,,Mulhall,OK,73063,G2024,,2024-07-23,1000.00,,G-2024 State House 38 OK,011,,,,Pfeiffer,John,,,,H,OK,38,,,,,,,,
SB29,C00169821,B878959,,,CCM,Blake Cowboy Stephens for Senate,,,,,,21180 E. 663 Rd.,,Tahlequah,OK,74464,O2024,Runoff Primary,2024-07-23,1000.00,,O-2024 State Senate 3 OK,011,,,,Stephens,Blake,C,,,S,OK,03,,,,,,,,
SB29,C00169821,B878928,,,CCM,Strom for House 2024,,,,,,445 County Rd 3215,,Copan,OK,74022,G2024,,2024-07-23,500.00,,G-2024 State House 10 OK,011,,,,Strom,Judd,,,,H,OK,10,,,,,,,,
SB29,C00169821,B878955,,,CCM,Friends of Kevin Wallace 2024,,,,,,PO Box 367,,Wellston,OK,74881,O2024,Runoff Primary,2024-07-23,500.00,,O-2024 State House 32 OK,011,,,,Wallace,Kevin,,,,H,OK,32,,,,,,,,
SB29,C00169821,B880783,,,CCM,Cmte to Elect David Hardin,,,,,,2300 N. Lincoln Blvd. Room 250,,Oklahoma City,OK,73105,G2024,,2024-08-14,2500.00,,G-2024 State House 86 OK,011,,,,Hardin,David,,,,H,OK,86,,,,,,,,
