form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00746107,500125810,,,ORG,Mango Skies LLC,,,,,,4626 N 16Th St,Apt 1453,Phoenix,AZ,850165153,G2024,,2024-10-23,2500.00,,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500117390,,,ORG,Fisher Phx,,,,,,2944 N 44Th St,,Phoenix,AZ,850187257,G2024,,2024-10-17,15000.00,,1776814.36,Ad Buy,,,O,P80001571,Trump,Donald,J.,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500117394,,,ORG,Fisher Phx,,,,,,2944 N 44Th St,,Phoenix,AZ,850187257,G2024,,2024-10-17,7000.00,,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500117395,,,ORG,Fisher Phx,,,,,,2944 N 44Th St,,Phoenix,AZ,850187257,G2024,,2024-10-17,2000.00,,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500128496,,,ORG,La Promize Company LLC,,,,,,4520 N 12Th St,Ste 102,Phoenix,AZ,850144250,G2024,,2024-10-29,15000.00,2024-10-29,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500125808,,,ORG,Chavez Radio Group,,,,,,PO Box 310,,Keene,CA,935310310,G2024,,2024-10-25,15000.00,2024-10-25,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500126818,,,ORG,WKQ Media LLC,,,,,,1502 Kearny St NE,,Washington,DC,200172958,G2024,,2024-10-25,250000.00,2024-10-25,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500125809,,,ORG,Mango Skies LLC,,,,,,4626 N 16Th St,Apt 1453,Phoenix,AZ,850165153,G2024,,2024-10-23,2500.00,,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500126819,,,ORG,WKQ Media LLC,,,,,,1502 Kearny St NE,,Washington,DC,200172958,G2024,,2024-10-25,250000.00,2024-10-25,1776814.36,Ad Buy,,,O,P80001571,Trump,Donald,J.,,,P,,,Badillo,Jorge,,,,2024-12-05,
SE,C00746107,500117379,,,ORG,The Campaign Workshop,,,,,,561 Connecticut Ave NW,# 290,Washington,DC,20015,G2024,,2024-10-18,1450.00,2024-10-18,1776814.36,Ad Buy,,,S,P00009423,Harris,Kamala,,,,P,,,Badillo,Jorge,,,,2024-12-05,
