form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00683250,500426753,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-24,39.50,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500426979,,,ORG,Amtrak,,,,,,60 Massachusetts Ave NE,,Washington,DC,200024285,,,2023-12-07,298.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500418415,,,ORG,Avalon Caterers,,,,,,109 Clermont Ave,,Alexandria,VA,223044837,,,2023-11-17,2950.59,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500285066,,,ORG,Capitol Compliance Associates Inc,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2023-08-30,1500.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500426980,,,ORG,Capitol Compliance Associates Inc,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2023-12-11,1500.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500283481,,,ORG,"HM Consulting, Inc.",,,,,,114 Lexington Dr,,Silver Spring,MD,209012531,,,2023-07-13,1000.00,0.00,Fundraising Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500426931,,,ORG,"HM Consulting, Inc.",,,,,,114 Lexington Dr,,Silver Spring,MD,209012531,,,2023-12-28,14052.98,0.00,Fundraising Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500283931,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2023-07-17,58.30,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500282164,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2023-08-15,63.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500285219,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2023-09-15,63.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500285484,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2023-10-16,63.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500418414,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2023-11-15,63.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500426238,,,ORG,Intuit,,,,,,7535 Torrey Santa Fe Rd,,San Diego,CA,921295704,,,2023-12-15,63.60,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500283862,,,ORG,"NGP VAN, Inc.",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2023-08-15,318.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500426237,,,ORG,"NGP VAN, Inc.",,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2023-12-13,318.00,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500426239,,,ORG,Traveluro,,,,,,177 W Putnam Ave,,Greenwich,CT,068305203,,,2023-12-11,736.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
