form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00027359,50266754,,,CCM,Messmer For Congress,,,,,,PO Box 44003,,Indianapolis,IN,46244,P2024,,2024-05-02,5000.00,0.00,U.S. House IN-08,011,C00867218,Messmer For Congress,H4IN08249,Messmer,Mark,,Sen.,,H,IN,08,,,,,,,,U.S. House IN-08
SB23,C00027359,50301471,,,CCM,Mike Davey For Congress,,,,,,2800 S Adams St Unit 5651,,Tallahassee,FL,32314,P2024,,2024-05-15,1000.00,0.00,U.S. House FL-27,011,C00870667,Mike Davey For Congress,H4FL27036,Davey,Michael,,Mr.,,H,FL,27,,,,,,,,U.S. House FL-27
SB23,C00027359,50301474,,,CCM,Re-Elect McGovern Committee,,,,,,P.O. BOX 60405,,WORCESTER,MA,016060405,G2024,,2024-05-03,2500.00,0.00,,011,,,,MCGOVERN,JAMES,,,,H,MA,02,,,,,,,,
SB23,C00027359,50301476,,,PAC,Blue Power PAC,,,,,,PO Box 8846,,Collingswood,NJ,08108,,,2024-05-03,5000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB23,C00027359,50301477,,,CCM,Vargas For Congress - NE,,,,,,PO Box 746,,Boys Town,NE,68010,G2024,,2024-05-15,1000.00,0.00,,011,C00784371,Vargas For Congress - NE,H2NE02132,Vargas,Tony,,Sen.,,H,NE,02,,,,,,,,
SB23,C00027359,50301483,,,CCM,Cartwright For Congress,,,,,,PO Box 414,,Scranton,PA,18501,G2024,,2024-05-14,5000.00,0.00,,011,C00509968,Cartwright For Congress,H2PA17079,Cartwright,Matt,,Rep.,,H,PA,08,,,,,,,,
SB23,C00027359,50304186,,,CCM,Eric Sorensen For Illinois,,,,,,PO Box 1172,,Moline,IL,61265,G2024,,2024-05-16,5000.00,0.00,,011,C00793935,Eric Sorensen For Illinois,H2IL17147,Sorensen,Eric,,Rep.,,H,IL,17,,,,,,,,
SB23,C00027359,50304187,,,CCM,Citizens For Boyle,,,,,,PO Box 14310,,Philadelphia,PA,19115,G2024,,2024-05-16,5000.00,0.00,,011,C00543363,Citizens For Boyle,H4PA13199,Boyle,Brendan,,Rep.,,H,PA,02,,,,,,,,
SB23,C00027359,50304213,,,CCM,Whitehouse For Senate,,,,,,P.O. Box 40280,,Providence,RI,02940,G2024,,2024-05-14,2500.00,0.00,,011,C00410803,Whitehouse For Senate,S6RI00221,Whitehouse,Sheldon,,Sen.,,S,RI,,,,,,,,,
SB23,C00027359,50390574,,,CCM,Angie Craig For Congress,,,,,,P.O. Box 22116,,Eagan,MN,55122,G2024,,2024-05-21,5000.00,0.00,,011,C00575209,Angie Craig For Congress,H6MN02131,Craig,Angie,,Rep.,,H,MN,02,,,,,,,,
