form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00552851,E74BAFC5CF6EE44BD921,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,1501 COMMERCE DR,,ELGIN,IL,601239304,G2024,,2024-10-14,10000.00,2024-10-14,10958.38,IE- PAULINA LUNA- EMAIL MARKETING,,,S,H0FL13158,PAULINA LUNA,ANNA,,,,H,13,FL,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,E340B40F214A64BE6846,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,148.89,2024-10-01,750.49,IE- ANNA - DONATION PROCESSING,,C00552851,S,H0FL13158,PAULINA LUNA,ANNA,,,,H,13,FL,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,EA3D35FC9FFF7463AA18,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,1.85,2024-10-01,11.35,IE- GRIFFITH - DONATION PROCESSING,,C00552851,S,H0VA09055,GRIFFITH,H,MORGAN,,,H,09,VA,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,E2EA4DA9DA4724B77B5B,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,282.60,2024-10-01,302.85,IE- CLYDE - DONATION PROCESSING,,C00552851,S,H0GA09246,CLYDE,ANDREW,,,,H,09,GA,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,E03D242A8262A455C901,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,54.00,2024-10-01,87.50,IE- NORMAN - DONATION PROCESSING,,C00552851,S,H8SC05158,NORMAN,RALPH,W,,JR,H,05,SC,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,EF683FC27DEB049DE958,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,7.00,2024-10-01,66.00,IE- ONDER - DONATION PROCESSING,,C00552851,S,H4MO03221,ONDER,ROBERT,,,JR.,H,03,MO,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,E6306337ABFEB48869F9,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,103.50,2024-10-01,115.75,IE- FULCHER - DONATION PROCESSING,,C00552851,S,H8ID01124,FULCHER,RUSS,,,,H,01,ID,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,E843FCD9522914045A71,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,3.00,2024-10-01,12.75,IE- HARSHBARGER - DONATION PROCESSING,,C00552851,S,H0TN01118,HARSHBARGER,DIANA,,,,H,01,TN,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,E25E93AAD3F424D4AB75,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,137.60,2024-10-01,1285.05,IE- KENT - DONATION PROCESSING,,C00552851,S,H2WA03100,KENT,JOSEPH,,,,H,03,WA,BROWN,MEGAN,,,,2024-10-24,,
SE,C00552851,EC27B5FEDB6554F95953,,,PAC,HOUSE FREEDOM FUND,,,,,,300 INDEPENDENCE AVE. SE,,WASHINGTON,DC,20003,G2024,,2024-10-01,6.50,2024-10-01,84.80,IE- OGLES - DONATION PROCESSING,,C00552851,S,H2TN05446,OGLES,ANDY,,,IV,H,05,TN,BROWN,MEGAN,,,,2024-10-24,,
