form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500027431,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2023-09-20,2453.83,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027344,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-09-20,856.85,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027525,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-01,122.23,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027526,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-05,100.47,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027527,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-06,9.32,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027528,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-07,7.08,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027529,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-08,7.43,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027530,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-11,15.20,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027531,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-12,4.68,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027532,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-13,7.08,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027533,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-14,8.12,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027534,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-15,22.84,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027535,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-18,24.91,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027536,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-19,8.25,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027537,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-20,1.18,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027538,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-21,29.25,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027539,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-22,9.43,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027540,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-25,19.99,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027541,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-26,4.76,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027542,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-27,14.10,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027543,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-28,16.88,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027544,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-09-29,51.58,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
