form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00400424,SB23.10300,,,CAN,,ADERHOLT,ROBERT B. REP.,,,,PO BOX 1158,,HALEYVILLE,AL,35565,P2024,,2023-09-05,5000.00,,Contribution,011,C00313247,ROBERT ADERHOLT FOR CONGRESS,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10303,,,CAN,,BALDWIN,TAMMY,,,,119 MARTIN LUTHER KING JR BLVD LL4,,MADISON,WI,53703,P2024,,2023-09-15,1000.00,,Contribution,011,C00326801,TAMMY BALDWIN FOR SENATE,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10337,,,CAN,,BROWN,SHERROD,,,,600 PENNSYLVANIA AVE SE,UNIT 15180,WASHINGTON,DC,20003,P2024,,2023-12-29,1000.00,,Contribution,011,C00264697,FRIENDS OF SHERROD BROWN,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10321,,,CAN,,CALVERT,KEN,,,,PO BOX 2438,,CORONA,CA,92878,P2024,,2023-10-16,1000.00,,Contribution,011,C00257337,KEN CALVERT FOR CONGRESS COMMITTEE,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10330,,,CAN,,COLE,TOM,,,,PO BOX 722256,,NORMAN,OK,73070,P2024,,2023-11-21,2500.00,,Contribution,011,C00404392,CONSERVATIVE OPPORTUNITY LEADERSHIP AND ENTERPRISE PAC,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10312,,,PAC,"CORTEZ MASTO, CATHERINE",,,,,,8020 SOUTH RAINBOW BLVD,SUITE 100-112,LAS VEGAS,NV,89139,P2024,,2023-09-15,1000.00,,Contribution,011,C00629212,ALL FOR OUR COUNTRY LEADERSHIP PAC,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10313,,,PAC,"DAINES, STEVE",,,,,,8945 MCGUIRE RD,,BELGRADE,MT,59714,P2024,,2023-09-15,1000.00,,Contribution,011,C00491357,STEVE DAINES FOR MONTANA,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10336,,,CAN,,DANIELS,ANTHONY,,,,PO BOX 6220,,MONTGOMERY,AL,36016,P2024,,2023-12-01,5000.00,,Contribution,011,C00856203,ANTHONY DANIELS FOR ALABAMA,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10341,,,PAC,"LETLOW, JULIA",,,,,,562 WEBB HILL RD,,OAK RIDGE,LA,71264,P2024,,2023-07-28,1000.00,,Contribution,011,C00816058,LETLOW VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10333,,,PAC,"PALMER, GARY",,,,,,1919 Oxmoor Road,#235,Homewood,AL,35209,P2024,,2023-11-21,5000.00,,Contribution,011,C00551374,GARY PALMER FOR CONGRESS,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10342,,,CAN,,PETERS,GARY,,,,PO BOX 226,,BLOOMFIELD HILLS,MI,48303,P2024,,2023-07-28,5000.00,,Contribution,011,C00507574,MOTOR CITY PAC,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10326,,,CAN,,STRONG,DALE WHITNEY,,,,P.O. BOX 18502,,HUNTSVILLE,AL,35804,P2024,,2023-11-03,1000.00,,Contribution,011,C00823500,SECURING THE REPUBLIC FOR OUR NEXT GENERATION,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10307,,,PAC,"THUNE, JOHN R",,,,,,PO BOX 516,PO BOX 516,SIOUX FALLS,SD,57101,P2024,,2023-09-15,1000.00,,Contribution,011,C00409003,HEARTLAND VALUES PAC,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10318,,,CAN,,TUBERVILLE,THOMAS H,,,,379 CHERRY STREET,,AUBURN,AL,36830,P2024,,2023-10-06,1000.00,,Contribution,011,C00764829,TUBERVILLE VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00400424,SB23.10324,,,CAN,,WICKER,ROGER F.,,,,P. O. BOX 874,,TUPELO,MS,38802,P2024,,2023-11-03,2000.00,,Contribution,011,C00443218,WICKER FOR SENATE,,,,,,,,,,,,,,,,,
